#NAME	GSM631514	GSM631515	GSM631516	GSM631517	GSM631518	GSM631519	GSM631520	GSM631521	GSM631522	GSM631523	GSM631524	GSM631525	GSM631526	GSM631527	GSM631528	GSM631529	GSM631530	GSM631531	GSM631532	GSM631533	GSM631534	GSM631535	GSM631536	GSM631537
#CLASS	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	CONTROL	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED
218581	0.001585484	-0.05552578	-0.002326012	0.053940773	0.013415813	-0.011088848	0.54931307	0.057052612	0.5835285	0.28779268	-0.0370183	0.28248215	1.5655627	1.2059083	1.8554473	1.679256	2.3438601	1.0510535	1.3482766	2.3909469	0.61429405	1.6307998	0.7043638	1.1699252
630499	0.067639825	0.129704	-0.023203375	-0.1973443	-0.102094175	0.125297069	1.11271045	0.590334415	0.68297625	0.8324008	0.2707963	0.33554125	0.54860735	0.16948843	0.596535205	0.042703155	0.27534961	-0.030595302	0.064058304	0.88931322	0.191762925	0.170049185	-0.194984915	0.185875416
17474	-0.19309902	0.17437744	0.20546722	0.01872158	0.03093195	-0.23639917	0.12031269	0.48840094	0.3752966	0.09903383	0.105196	0.19932842	3.42246	1.9314084	3.5559173	2.6814008	3.5013127	1.749373	2.540772	2.1345801	1.386414	3.2405772	1.8348908	1.9619718
72590	0.026670456	0.059513092	-0.010932922	-0.08618355	-0.09370041	0.10463333	0.11066723	-0.043806076	0.006137848	0.09200668	0.06342888	0.04291725	0.42526436	0.39839554	0.35474586	0.5474224	0.7715454	0.58338165	0.5930643	0.7625923	0.35994816	0.25291252	0.31040764	0.6480427
74616	-0.007469177	0.127182	0.27496672	-0.11971235	-0.23346901	-0.04149723	-0.04460478	-0.07404089	-0.14789295	-0.08002186	-0.23027563	-0.16831732	0.05235672	-0.28739595	-0.482975	-0.5563817	-0.15734434	-0.24254131	-0.057971954	0.073020935	-0.15829945	-0.24344492	-0.4196396	-0.033207417
93695	0.168751	-0.038880348	0.033911705	-0.129870536	-0.069886566	0.03597498	0.073598504	-0.082188724	0.104951502	0.050647374	0.080994369	0.26348532	1.26779279	1.83699555	0.684952378	1.968197448	1.06548668	2.438465465	1.397388685	1.184156158	1.144019966	1.34931243	2.200009943	1.795541175
66333	-0.09878206	-0.122265813	-0.011337995	0.221047165	-0.055634736	0.06697273	-0.163965228	-0.20869112	0.020413877	0.230190515	-0.061043502	-0.020890953	-0.8545036	-0.474399335	-0.76408817	-0.834908735	-0.93522074	-0.39036464	-0.664891005	-0.64082647	-0.51472616	-0.770166879	-0.422078608	-0.18487406
218294	-0.245138167	0.29448001	-0.137692768	-0.049341837	-0.189110437	0.326803847	-0.350230533	0.037871677	-0.38565064	-0.19069068	0.103460311	0.074511527	-1.277802133	-1.050037867	-1.292713167	-1.0850423	-1.727696767	-0.703844707	-0.782289817	-2.123701867	-0.965903603	-0.62833024	-1.019933377	-1.124544933
231070	-0.232330791	0.271104215	-0.028595451	-0.038773296	0.09271276	-0.064117313	-0.218945145	-0.582898847	0.038061023	-0.057082059	-0.455986379	-0.088217138	-0.380493035	-1.222806925	-0.58371258	-0.994011763	-0.523619193	-0.91570449	-0.596141458	-0.655211815	-1.047350643	-0.749708049	-0.93721079	-1.736834268
12953	-0.013059616	-0.005929947	0.14795113	0.018989563	-0.15233803	0.004386902	-0.34730816	-0.53861046	-0.23533058	-0.35286236	-1.0360565	-0.96326065	-1.234726	-1.0145864	-0.76413727	-1.3109188	-1.4313135	-1.4434452	-0.91726303	-0.8302822	-1.1784954	-1.3258686	-1.0684948	-1.0356789
96935	-0.056292534	0.5013318	-0.27769852	-0.44503975	-0.4946723	0.77236986	-0.54672575	-0.3719144	-0.19344187	-0.33167505	-0.45955467	-0.55646706	-0.21558428	0.062868595	-0.385509	-0.42350245	-0.33086014	-0.5189595	0.0352664	0.05415058	-0.40063047	-0.47604942	0.35206747	-0.005772114
70335	-0.00118351	0.061526298	-0.095655443	-0.060342075	-0.197695972	0.293352125	-0.394020315	-0.522381775	-0.26284861	-0.49945091	-0.49062036	-0.396637435	-0.791084055	-0.963172915	-0.450443985	-1.18512155	-0.75788332	-0.8985107	-0.594998115	-0.455513235	-0.61431694	-0.764450315	-0.78691411	-1.03854395
321003	-0.013613701	0.017756462	0.1413374	-0.004143715	-0.2012968	0.059958458	-0.3905077	-0.09348202	-0.22145748	-0.47914505	-0.20669842	-0.33259487	-0.1988039	-0.07659531	-0.23327541	-0.57049084	-0.44968128	-0.5473795	0.00268364	-0.5965986	0.02061367	-0.5728998	-0.20788574	-0.5210962
66889	0.086498976	-0.04888034	-0.042312145	-0.037619114	0.120282888	-0.077970506	0.085938691	-0.016263725	-0.262584685	0.116955759	-0.141333575	-0.282169343	-0.096037627	-0.151674515	-0.27229642	-0.32003188	-0.44614149	-0.36256503	-0.1616652	-0.493068235	-0.35303593	-0.15673399	-0.35036921	-0.618706465
66875	-0.082434653	0.100812753	-0.13311005	-0.018377941	-0.07199621	0.205106097	0.085051537	0.003605047	-0.041146753	0.128677053	0.085665067	-0.008076032	-0.084687074	0.097311019	-0.037646612	-0.11300548	-0.030026593	-0.0444479	0.003378235	-0.98041202	-0.041536172	-0.207431793	-0.15912835	-0.076090015
109331	-0.42400312	-0.11272669	-0.40341997	0.53673077	0.2521901	0.1512289	-0.45230436	-0.3459344	-0.21878052	0.35612297	-0.3876748	0.19391155	-0.056250572	-0.37276268	-0.08520126	0.12935114	0.5558071	-0.10807848	-0.30448914	-0.1606493	-0.4280219	0.66711044	0.48444176	0.15752983
19645	-0.068622115	0.081918243	-0.09257746	-0.01329565	-0.12109804	0.213675025	0.25062323	0.03583281	0.208209515	0.324502945	0.115430354	0.28614569	0.44474745	0.7124915	0.37681818	0.758356575	0.5490303	0.5099206	0.489517225	-0.62155485	0.23039818	0.744234585	0.20745945	0.5138631
69192	-0.38138294	-0.053468704	-0.4356742	0.43485308	0.33516788	0.10050678	-0.41948318	-0.5765362	-0.3000207	0.21448326	-0.003370762	-0.4052596	-0.19256449	-0.5378599	-0.3751564	-0.026063442	0.118498325	-0.5870075	-0.28603458	-0.15131617	-0.663918	0.3780036	-0.056367397	-0.69809866
56878	-0.01961422	0.147921565	-0.085503578	-0.128307341	-0.25083923	0.33634282	0.131572245	0.46006585	-0.275025365	-0.4110999	0.20977879	0.236486435	0.69414425	0.8533988	0.437758445	1.0463562	0.49109078	0.7627678	0.785187735	-0.34395313	0.49968864	0.435860635	0.46619797	0.58331203
19369	0.110941567	0.225977573	0.058904965	-0.336918513	-0.218521433	0.159616153	-0.208214442	-0.460437467	-0.33811696	-1.372355967	-0.099134125	-0.018170357	-0.411333723	-0.480189013	-0.652208329	-1.220679267	-0.504891396	-0.481253617	-0.77561441	-1.608646217	-1.156012533	-0.48059654	-1.014999713	-0.799773223
70456	-0.16086531	0.072382213	-0.011579037	0.08848214	0.083529709	-0.071948765	-0.27615142	-0.083870409	-0.26039505	-0.188254595	0.130218504	0.02801204	-0.56624936	-0.287530659	-0.5488863	-0.66218425	-0.772720835	-0.333490618	-0.525807615	-0.87494445	-0.35597635	-0.53230404	-0.559918175	-0.260719055
12684	0.07933235	0.04610443	-0.10215664	-0.12543678	-0.084742546	0.18689823	-0.05051136	-0.17968655	-0.1090107	-0.38574123	-0.5454912	-0.26434135	-0.80742645	-0.6670141	-0.55184746	-1.2157164	-1.0992317	-1.081975	-0.6728935	-0.34410095	-0.6723261	-1.0728855	-0.9955616	-1.1959906
211577	0.25654316	0.002270222	0.05185747	-0.25881195	-0.1834712	0.13161278	0.25959635	0.05185747	-0.09953022	-0.0842123	0.03161049	-0.11173248	0.44741154	0.8707013	0.5892191	0.6884842	0.93030787	0.61777973	0.22302198	1.4767585	0.56451464	0.47846556	0.2993474	0.21028757
17329	0.3566084	-0.05808544	-0.39593315	-0.2985201	-0.107149124	0.5030842	4.1543055	3.7682762	3.7225256	3.2741108	3.64077	3.7737026	2.5968313	2.3083267	1.4008875	2.0695972	2.1243305	2.8326473	0.6371517	2.0146875	1.5428171	1.2617788	0.8517237	1.6336727
14199	1.3701488	-0.64316367	0.03033336	-0.726985467	0.078330039	-0.108663877	-0.358576297	0.434713367	-0.314871943	-0.449133872	1.457500893	0.458494027	0.154913745	1.088091545	0.103878814	0.875435035	0.135085265	0.9168903	-0.144163609	0.082869687	0.90118171	-0.063999337	0.701443513	0.81175852
74126	-0.25586224	0.024907112	0.48034382	0.23095226	0.04397869	-0.52431965	0.6086588	-0.06898403	0.5530577	0.16293907	-0.1319933	-0.05953026	0.6637373	0.73685265	0.51089954	0.3532591	0.928277	0.07274723	0.19432735	0.8004236	1.0282917	0.07087803	0.37217999	0.68500996
232987	0.08705187	-0.093939304	0.01185894	0.006887436	0.13531113	-0.14717007	0.23371553	0.31182098	0.28846693	0.2889676	0.21038055	0.022250652	0.35304785	0.3710642	0.5139842	0.56331444	0.43753767	0.26291466	0.8837123	1.0887504	0.5754223	0.7244525	0.6860523	0.2836094
18143	-0.2912755	0.21657324	-0.17972088	0.074701786	0.3279419	-0.14822102	1.0558195	0.64470863	0.8158593	0.37757778	0.3337536	0.22421646	0.37225246	-0.118676186	0.49288273	-0.58262014	0.61265945	-0.3398037	0.3843584	1.141634	-0.31427526	0.5419698	-0.6824455	-0.2086997
