#NAME	GSM1432676	GSM1432677	GSM1432646	GSM1432647	GSM1432648
#CLASS	CONTROL	CONTROL	INFECTED	INFECTED	INFECTED
639396	-0.07939148	0.115679264	-0.26003408	-0.18704367	-0.31176472
16181	0.094052237	-0.040660148	1.165638812	0.90221794	0.767022379
20312	-0.113206625	0.061802626	0.06601024	0.15941548	0.021353483
26921	0.15129757	-0.08157396	0.24772549	0.32635164	0.1293087
17393	-0.059653997	0.022515535	-0.004929781	-0.17900825	-0.21212125
239038	0.07034063	0.18153667	-0.18446112	-0.25916767	-0.1317401
56716	-0.13812359	0.073310932	0.15773606	-0.013615368	0.112191277
13035	-0.27540708	-0.3056705	2.9429028	3.5559208	3.142083
76299	0.43186188	0.12106943	0.031710625	-0.12063408	0.020288944
12873	0.076999345	-0.008124351	0.216914813	0.245844682	0.136937935
16156	0.1299932	0.03176236	-0.055241346	0.045544863	-0.005868673
78894	-1.7130651	1.6251483	-1.453023	-1.1917896	-1.4126906
235050	-0.038847208	-0.12178588	-0.077549696	-0.14791131	-0.09936643
74559	0.17606306	0.026438236	-0.09511328	-0.1883483	-0.09318733
27973	0.169162193	0.068145356	-1.1772336	-0.97226422	-0.87085382
12279	-0.207015913	-0.684656834	0.303684305	0.079934043	0.48072711
77889	-0.59005056	-0.71901215	0.586150765	0.625852725	0.453625075
15980	0.09889237	0.06762743	0.307526427	0.346086187	0.182531831
66118	0.2730255	0.017532349	0.07696867	-0.029439926	-0.082671165
269582	0.060403527	-0.0707317	0.389050904	0.250861708	0.309685649
327747	0.14850974	0.079671144	-0.17202449	-0.16487765	-0.025861025
81003	0.210738027	0.142372133	-0.188146913	-0.237033683	-0.16918071
16182	-0.21895814	-0.34364772	0.4991982	0.34187818	0.001831293
328162	-0.11083269	0.13807297	0.8220706	0.68670416	0.8735504
20964	-0.057783009	-0.090655683	0.49309005	0.203955775	0.156202672
72155	0.166415932	0.005013705	0.210788968	0.162708284	0.191797735
54139	0.108460982	0.064684631	-0.50802302	-0.475140177	-0.44490742
227231	0.19277382	0.80892087	-2.80124615	-2.54631755	-1.8883848
12651	0.22059941	-0.14642167	-0.36614966	-0.27761245	-0.46805787
94346	0.008117914	-0.008117914	0.17988896	0.061798334	0.10827994
68214	0.258138415	0.04438877	-0.07490635	-0.28393197	-0.181845185
54383	-0.008912087	-0.34435415	0.7132635	0.6942539	0.45392084
66631	0.27555013	0.12350106	-0.27460122	-0.02480483	-0.072493315
230779	-0.3063283	-0.3580823	0.30975056	0.025472641	0.2624755
19043	-0.063097627	0.031736055	-0.474984323	-0.45484877	-0.27239768
71869	0.23702025	0.18649173	-0.01407218	-0.020595789	-0.21025968
209588	0.16187406	0.09837031	-0.13973403	-0.1404984	0.07046962
331532	0.033289433	0.20341635	-0.16197157	-0.22384214	-0.042568684
105887	0.7087691	0.402416	-1.0086935	-1.0916793	-0.104040384
69786	-0.092881283	0.108992338	-1.031429533	-0.974187623	-0.925951718
76971	0.65564585	0.29894257	-3.9496994	-3.8190603	-3.8026342
78771	0.18149471	0.10563898	-0.058389664	-0.26320553	0.007888794
207777	0.0637908	-0.020207882	0.5101929	0.2875843	0.08156729
14067	0.19005537	0.18595695	-0.5856242	-0.48333025	0.018982887
55984	0.06955695	-0.011938334	-0.047287703	0.088350534	0.14796901
70025	0.133778335	0.2787652	-0.180535795	-0.254080651	-0.260318159
13733	0.011215607	-0.243105653	1.41974952	1.401866313	1.43720124
68097	0.48861134	0.364279403	-0.221649765	-0.303671005	0.019812463
103199	0.07291746	0.20785904	0.069120884	-0.12120104	-0.15937376
15493	0.1811529	0.125450973	-0.165904282	-0.310729265	-0.137837171
72190	-0.32561934	-0.498697867	0.451772335	0.2817241	0.330211285
21976	-0.03894353	-0.25901437	0.08938384	0.006569624	0.20805478
75458	0.110759079	0.015537798	0.144932211	0.054449383	0.15406376
11979	0.033437013	0.158700347	-0.097731831	-0.28565359	-0.087102533
229096	0.161298752	0.109498023	-0.26621104	-0.278608809	-0.252105553
56615	0.048334599	0.111953735	-0.85563802	-0.4640646	-0.452911385
65107	0.13405418	-0.083302975	0.48728848	0.5811262	0.2591157
98985	-0.09111428	-0.15532327	0.0990603	0.039982557	0.2879598
56451	0.332323464	0.43453924	-0.969338823	-0.908800207	-0.94197838
67557	0.109372735	-0.009382606	-0.031260372	-0.041166186	-0.079387069
67374	0.064834893	-0.090959727	0.014769497	-0.11429805	-0.012052835
18127	-0.303625347	-0.186127583	0.186492841	0.056117456	0.193164111
80901	0.003628969	0.006436586	0.16239095	-0.083271265	-0.004745722
18008	0.05818498	0.02053487	0.015013099	-0.001821875	-0.056670785
246154	-0.4584961	-0.4473281	0.3764696	0.6829653	0.38669538
15213	0.014936447	-0.17947817	-0.056428432	0.31356668	0.24874067
234407	-0.48367357	-0.4165182	0.95349646	1.0769401	0.8687897
216725	-0.302624463	-0.3964053	0.87906669	0.909388443	0.08715431
16596	-0.09800434	0.3682809	-0.33222246	-0.45056534	-0.23247671
170728	-0.28930235	-0.2549491	-0.16852903	-0.449327	-0.02420044
22083	-0.1245389	0.038201332	0.23769379	0.15593338	0.14958811
16909	-0.34877777	-0.5878835	1.2052288	1.4631624	1.1505189
14645	0.13142347	0.0964632	0.1342206	-0.03252268	0.003056526
55949	-0.18967032	-0.062630257	0.075437783	0.33032441	-0.140404622
217353	-0.373989693	-0.499612929	0.445544838	0.172245628	0.276731969
109154	0.035899699	-0.085524619	0.143526973	-0.052055289	0.135127963
320415	0.05483937	0.519190065	-1.54817605	-1.3944042	-1.10957455
211948	0.1469512	0.031745434	-0.07288122	-0.14908457	0.1855278
57370	0.085121745	-0.069247365	0.401952623	0.24172032	0.256581365
15163	-0.13982868	-0.29966402	1.2516074	1.1678901	1.2122192
68262	-0.20004082	-0.1295147	0.53369427	0.4136572	0.37849522
100689	-0.40162754	-1.7049251	1.1600218	1.4401293	1.4479127
67070	-0.07090759	-0.112840176	0.40155506	0.38558006	0.18001127
20652	-0.28100872	-0.37973833	1.4771361	1.7037377	1.4062586
56018	0.229913815	0.605553283	-0.75555264	-0.79911603	-0.50117195
69146	-0.266727128	-0.225869496	0.361087163	0.31845856	0.33846124
93694	-0.36037397	0.42112732	-0.7162738	-0.50730944	-0.70168304
239337	0.11172676	0.21318817	-0.042625427	-0.18228722	0.01184845
381534	0.043039561	-0.116167543	-0.16843057	-0.265325075	0.020371676
69546	0.229954403	0.090534051	-0.3385094	-0.283452517	-0.318871657
66138	0.270080565	0.241329907	-0.52741027	-0.39908074	-0.308553695
72722	-0.27947068	-0.15375018	0.26120543	0.09929347	0.35755754
15184	0.337291247	0.023918629	-0.333846887	-0.154033664	-0.29409822
12007	0.176034929	0.167690753	-0.8263192	-0.362588405	-0.341638085
72287	0.39848137	0.000719785	-0.1265769	0.01025629	0.013558626
66433	0.62878656	0.69177914	-0.10914183	-0.04998827	-0.19458103
56388	0.7892697	0.5161884	-2.5902727	-2.0391986	-2.1312592
17215	-0.028540373	-0.06350684	0.041982412	0.022348642	0.18411374
27965	-0.005736828	-0.13334846	-0.035315037	0.17272997	0.24827194
19683	0.39084673	0.94732666	-2.4140773	-2.1915545	-2.273645
216188	0.148515225	0.030935049	0.05226326	-0.04829383	-0.048788309
18671	0.033029556	0.008805752	-0.012168407	-0.15109444	0.06679726
17475	0.090399663	0.215888579	-0.138561647	-0.281970257	-0.074763217
66477	0.279732	0.54135966	-0.20158744	-0.24829888	-0.21956563
21937	0.151137112	0.372462037	-0.156068087	-0.096990663	0.040536959
214895	-0.277197475	-0.180874465	0.245228167	0.137116315	0.077144981
54132	-0.5127084	-0.5612023	0.2981074	0.26992345	0.063440084
231997	0.05097437	0.024748802	-0.15465641	-0.01978445	-0.019754887
68598	-0.024332523	-0.019325256	0.11828756	0.00023	-0.06325817
27416	0.05034983	-0.188293099	0.34865844	0.08473432	0.148159384
217463	0.10718846	0.3420694	0.073839426	0.015413523	-0.13383079
19366	-0.09906602	-0.12478185	0.9510486	0.6867931	0.6952603
11898	0.10258961	0.4669938	-1.4624224	-1.7397661	-1.585649
24060	0.25161815	0.09795165	-0.37022424	-0.18576121	-0.06991553
