#NAME	GSM1704234	GSM1704235	GSM1704236	GSM1704237	GSM1704238	GSM1704239	GSM1704240	GSM1704241	GSM1704242
#CLASS	CONTROL	CONTROL	CONTROL	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED	INFECTED
319263	9.967758217	9.848057751	10.17125333	9.730674226	9.833246335	9.814924152	8.716077611	8.779023818	8.841864344
76187	11.41591611	11.35739353	11.28423953	10.96138991	10.68606766	10.70816087	9.014208617	9.73129573	10.36310706
240725	6.092200378	5.922741442	5.871930245	6.00488617	6.147030699	6.00488617	6.131277556	5.70907505	6.023841968
381246	8.048825799	8.146512886	8.604710921	8.447892209	8.307568524	8.652242554	6.221929769	7.672926433	7.007101745
17087	9.312050311	9.692180989	8.745304751	9.206977079	9.18347209	9.316425532	9.164137851	9.614004369	10.30890694
14859	12.57743578	12.63505142	12.44055221	12.59727965	12.54395572	12.49302228	10.83992229	11.77742279	11.82648535
212503	8.528012468	8.430010136	8.351218503	9.069535149	8.800954903	8.873926859	8.228860611	8.170996348	7.950221158
19253	5.898989425	6.042670308	5.976296686	6.06386527	6.118548818	6.111174195	6.285791029	6.06386527	6.06386527
226970	6.428875654	6.736525249	6.639389982	6.575015245	6.601288944	6.711590775	6.617285516	6.889576592	6.617285516
226971	8.750744706	8.880829273	8.663842293	8.791740415	8.720330615	8.719675465	8.83939644	8.470390424	8.576753205
22637	6.722513427	6.846240179	6.722513427	6.720361038	6.710723749	6.82436102	6.711712688	6.686930383	6.741925807
107734	9.410056237	9.496972382	9.454154932	9.780184399	9.94479684	9.944422699	9.480745591	9.805383826	9.611307767
18143	9.167069683	9.206272913	5.61395392	7.674902794	8.155426396	6.947703782	6.892917335	8.361724732	7.243445971
114641	8.724996965	8.818072352	8.737020218	9.020245365	8.937091531	8.967561397	9.41100984	9.092453901	9.062286093
26921	8.068226169	7.691030756	7.732514723	7.710126781	7.475257087	7.727699825	9.406538849	8.751320752	9.617076438
16178	4.984210652	4.990609399	5.130768666	5.379252026	4.922106246	5.123852099	8.047095879	6.526583497	8.608428823
16177	8.94322784	8.731080154	10.31225312	8.714901052	8.593537673	9.09200945	9.785690508	11.17815398	10.86535662
16182	4.828921559	4.590951685	4.667482656	4.749784315	4.951577057	4.641986448	4.931056333	4.80373541	5.099470443
16174	4.906464448	5.053517621	5.354840777	5.387206664	5.060313001	5.272442022	6.306378371	5.723233915	6.290927916
22019	8.200646217	8.654699033	8.256388298	8.504611709	8.36245196	8.325833601	8.225431157	8.360163492	8.36245196
12825	7.708592274	7.511011136	7.856979102	7.994719003	7.833128741	7.579296745	10.56690212	9.489309303	10.06175997
20324	6.979891948	6.979891948	7.475328548	7.078902849	6.8794262	6.873624525	6.933183511	6.979891948	6.811246309
20846	9.472827019	9.291758035	8.776463123	10.95389623	10.6368804	9.885995839	8.624403635	8.60997726	10.13452351
67876	8.332829409	7.567423807	9.777947829	8.527581569	8.435927114	8.88517112	7.882445205	8.439527569	8.190464373
15528	10.68948763	10.78922676	10.8021854	10.77325257	10.72433132	10.86485292	10.50883118	10.53400692	10.5179246
212679	6.751595406	6.824192	6.914714789	7.382076627	7.291760049	7.221479699	8.077063623	7.626989103	7.675525731
67198	7.022578591	6.83452352	6.333331936	8.104943388	8.381272182	7.375129078	7.428914393	7.243631486	8.094514511
71724	10.32712747	10.63209048	10.30440051	10.52375218	10.47688115	10.5641972	7.595054658	8.717886005	8.590748541
66495	8.146598772	8.093722447	8.184631232	7.729059936	7.854923117	7.887907065	7.231814922	7.386964164	7.382109319
12370	10.56783693	10.66854529	11.03135427	10.00844256	10.2607685	10.31837173	9.823995292	10.05072041	9.893069434
227154	9.561035757	9.375346237	9.699168756	9.264456438	9.230134085	9.366107038	8.632752874	8.268608313	8.804386089
14369	8.828974605	9.419150571	9.110817493	8.38433575	7.932439533	8.073412309	7.992045834	7.672585133	7.858008716
55989	7.714120677	7.613767709	7.044540893	7.662608579	7.80792807	7.629407731	7.807511624	8.490292811	8.262948954
329165	7.28859704	7.018424251	7.28859704	7.191503622	7.264917866	7.061567433	7.623330878	7.75752	7.805187954
54167	5.808152662	6.059662379	6.047179983	6.715228743	6.127840729	6.169861911	5.658672479	5.675040028	6.061293296
