#NAME	low10-1.cel	low10-2.cel	high10-1.cel	high10-2.cel	low48-1.cel	low48-2.cel	high48-1.cel	high48-2.cel
100_g_at	9.642896152	9.74149593	9.537036294	9.353625042	9.591697198	9.570590003	9.475796234	9.530655159
1000_at	10.39816907	10.25436246	10.00397056	9.903528072	10.3748662	10.03352045	10.34506604	9.86332109
1001_at	5.717613479	5.881007611	5.859563251	5.95402767	5.96054022	6.020889393	5.981080253	6.285192094
1002_f_at	5.512595956	5.801806991	5.571064822	5.608131831	5.390063911	5.494511159	5.508103538	5.630106526
1003_s_at	7.783926552	8.007975311	8.037998859	7.835119841	7.92648674	8.13886965	7.994936847	8.233337701
1004_at	7.289162155	7.603670275	7.488538813	7.771505854	7.521788542	7.599544133	7.456149346	7.675170716
1005_at	9.206737493	8.993802402	8.237894255	8.338003525	9.173196386	9.040470337	7.926105833	8.069686035
1006_at	5.387193668	5.555903141	5.407539579	5.74403733	5.635769674	5.75312714	5.485841919	5.750324626
1007_s_at	11.90333613	11.74451474	11.40879438	11.52722659	11.60691395	11.34409232	11.4218455	11.04993157
1008_f_at	10.11933122	10.98664643	10.83029726	10.02509297	11.044701	11.13829882	10.70570446	11.36951087
1009_at	10.55306728	10.50044392	11.15983446	11.04827495	10.21127634	9.565899317	11.36323449	10.76293671
101_at	6.874924004	6.685042346	6.742093878	7.088004294	6.74382915	6.554617353	7.047423389	6.725591862
1010_at	7.710794043	7.827521899	7.861160134	7.781536678	7.902476306	8.208335679	7.775098995	8.653873976
1011_s_at	8.343789599	7.946077026	8.301510753	8.048695862	8.32349818	8.104001605	9.213648799	8.859860614
1012_at	5.085473258	5.090196635	5.010356051	5.033140851	5.192031183	5.441569093	5.098965328	4.990747665
1013_at	5.257827227	5.157303313	5.472128677	4.839999774	4.702707846	4.716420882	4.652240156	4.84857171
1014_at	8.915022587	8.98298672	9.060316102	8.910991102	9.191165325	9.089899505	9.297591547	8.957680799
1015_s_at	7.430635168	7.558620819	7.297271189	7.625684955	7.881433274	8.322579356	7.760295085	8.073685462
1016_s_at	5.432050223	5.331180119	5.51246861	5.296041437	5.377128752	5.500346838	5.355066301	5.342725261
1017_at	5.536575464	5.302901371	5.578642999	5.167247933	5.657477846	5.585960965	5.561080836	5.351552707
1018_at	7.502611899	7.745896694	7.514346703	7.73557647	7.637162736	8.019423502	7.544695421	8.032828354
1019_g_at	7.677789045	7.785227149	7.687340337	7.568827994	7.667691299	7.668929197	7.682268591	7.830153089
102_at	5.138951429	5.027596623	5.130461358	5.02521248	5.125956567	5.272366312	5.194666955	5.402040181
1020_s_at	10.68068412	10.6998846	10.22942337	10.32343736	10.37572843	10.06569024	10.34299295	9.529029832
1021_at	5.410297763	5.409683677	5.384937211	5.560544685	5.925875325	5.683686366	5.518229321	5.704898027
1022_f_at	5.084911636	5.070868045	4.85966627	4.868026315	5.187295032	4.959015234	4.741726031	5.132135866
