#Official	logFC
OXT	-0.557136971
ALDOB	-1.277784317
APOA1	-1.034136439
APOC3	-2.231729728
APOE	-1.045657875
APOH	-0.968308832
C3	-0.861541301
FUT6	1.187399591
PLG	-1.405238611
TTR	0.785011172
HRG	-1.778774832
ALB	-2.140715987
FGG	-0.925083829
ORM1	1.732172706
ORM2	1.177511121
RPL12	-1.20754269
RPL23	-1.350237118
SERPINA1	0.970150527
RPLP1	-2.12657836
RPLP2	-0.90466867
RPS8	1.06983201
CES1	-0.812495226
RPS28	0.9098159
GPR155	0.288793451
PQLC2	-0.794007568
ACTB	0.882655346
TYMP	-0.528173754
MTRNR2L6	-1.089337396
ZNF865	-1.042517163
EEF1A1	-0.82323137
AHSG	0.711364481
AMBP	0.62988415
APOA2	-1.042255311
APOC1	0.74682906
C1R	-1.275388817
HLA-A	-0.520919285
ITIH4	0.618279383
RPS2	-0.740497106
HP	0.422432666
MT1A	1.130479765
MT2A	0.694475637
RBP4	-1.091189118
ADAMTS7	-0.772085197
CYP2W1	1.247918875
AS3MT	0.908457741
UBC	0.862725118
RPS18	-0.82345721
MAP4	1.459819774
RPL13	-1.666582286
HSCB	0.628715294
LCE1D	0.923345101
SLC16A12	0.695870883
