samples,Sample008,Sample009,Sample012,Sample014,Sample015,Sample016,Sample019,Sample030,Sample031,Sample032,Sample033,Sample034,Sample036,Sample037,Sample042,Sample043,Sample044,Sample045,Sample053,Sample054,Sample056,Sample063,Sample066,Sample068,Sample069,Sample074,Sample075,Sample081,Sample083,Sample093,Sample098,Sample001,Sample002,Sample003,Sample006,Sample007,Sample018,Sample020,Sample021,Sample022,Sample024,Sample025,Sample028,Sample057,Sample058,Sample064,Sample073,Sample076,Sample078,Sample079,Sample082,Sample084,Sample085,Sample086,Sample087,Sample088,Sample089,Sample091,Sample092,Sample094,Sample096,Sample097,Sample099,Sample100,Sample004,Sample005,Sample010,Sample013,Sample017,Sample026,Sample029,Sample035,Sample038,Sample039,Sample041,Sample046,Sample047,Sample048,Sample049,Sample050,Sample051,Sample055,Sample059,Sample060,Sample061,Sample062,Sample065,Sample067,Sample071,Sample072,Sample077,Sample080,Sample090,Sample095
70.259__441.08,6974879,8868120,10435485,8706933,12255842,10406803,11315670,6971055,6546276,9147954,11008667,11859026,9978275,10100088,12499876,9258200,9836082,9207955,10687792,10353085,9355067,9118445,9012126,9606733,9704198,5710475,10127061,7803917,7001611,8747563,9851814,9794408,8200143,4174575,9095508,10508985,9264454,10195597,11112159,10913008,9888344,9686577,7902150,10975291,10463930,11353322,8333314,6191565,11700865,9754638,10095457,9751210,6202986,7858181,4955234,6086300,6518879,11551695,11006245,11429749,10507523,10421646,11593818,12418605,11876810,11596779,7017756,10580569,9206355,8338127,10699484,8401886,9189239,10116499,9605610,10745700,7011013,9612730,5544833,11224331,9334218,11199759,9725641,8780001,10146526,5538153,9789635,7250083,8777585,9936022,10767000,7491231,8603478,12877475
70.483__537.81,4435407,4643224,1577562,2765094,1985163,4903634,2384153,2559079,2095330,2891763,4170907,2650346,8684637,5151707,2748622,5003156,4497811,5598723,1543628,1862357,1638254,2471796,1643598,3624352,4562970,3406034,2267727,2677787,7281070,2013158,1722089,660752,531888,308600,503796,599277,730728,530017,568869,637052,673419,726620,504766,636144,715510,648554,579902,424018,664857,562472,553005,637265,454536,584933,372931,210212,462151,693181,687932,643048,767225,555446,705069,425529,1346527,1239261,1538506,765671,602249,996813,954705,916374,1210531,1164797,1517255,696104,1051811,1141120,933126,816721,1540974,1297572,1231063,869847,1298176,813887,1183674,1216543,1288610,1001594,784593,1023952,941925,784950
101.0231__43.64,174564169,111310731,87946256,104580309,93244085,100670149,69017304,104947735,108117720,105611024,102414331,99667407,91158661,78492433,104906126,66308431,75537838,184867111,154170125,116321288,91998399,264027123,182569002,192534371,202088389,168835071,126470526,273620026,156348830,84540016,54968049,76028661,128882946,124861541,134599594,129164354,60795281,87096649,81069535,136708736,97299890,102999854,96369519,124136381,120579954,227173073,172800055,95640231,105718864,132428477,278418348,150764571,191887930,167364680,121826561,87188964,37464171,100012955,116399753,148810280,101754671,129295573,99959035,118937737,99087955,138485521,111638518,152394238,71619001,68765400,104204331,75066088,93877297,127182550,153677429,135315904,120539055,152245125,86802390,92482152,164136052,88312740,82423493,109545434,109829421,180568334,113113013,163459586,123590335,84115993,124333912,82424650,96147705,124907643
71.0125__39.87,21651709,21814964,20056581,20781491,23960622,21174957,16865646,19129331,24539546,22610708,17404549,19216253,19038123,19156026,23429219,22468024,25259325,23177458,28805107,24641096,23007835,20325343,23877066,18183280,13004160,23622899,23872191,21299081,20088618,20014647,21457378,20287515,26424125,18462400,23216755,25062122,19396447,20738531,23574989,21250242,22460339,19003970,19267390,22287201,25691571,16803838,27784384,19889935,24113349,25908444,19846506,18586915,18656732,19332479,12842809,22837968,16649345,21338402,20713494,23999113,23739116,30303244,29216766,27402254,28467431,21626930,17501021,20149323,18297157,17089994,19998169,19628760,23387506,20022469,31867005,21318410,18428629,16414103,18068560,22664286,21051969,22119358,22622183,27007680,19988884,17771177,14897360,15877748,20886362,19570565,21213776,22472290,18119945,25204251
71.0125__43.64,12735707,13611973,4916023,8251195,6542983,14938553,7693197,7801168,5959118,9033437,12496747,8482103,26061872,15699752,8894403,14803528,13065558,15261294,4255343,5508858,4797219,7333788,4756554,9929285,13731058,8507828,6568582,7365220,21160172,5965034,4847743,1271912,1304415,1712987,2026735,1914546,1293895,2024780,2246537,2505361,1896975,1721419,2122807,1739721,1201959,2391633,1353221,1568056,1662730,969909,1957462,1244349,1807891,1998437,2454614,277921,1847842,1937360,2321947,2055544,2184013,2512567,3124308,1416633,4761968,3690144,4618820,1803561,2792855,2410927,2911634,3299487,3426837,3660753,3395959,1530053,2473359,3624807,2201863,2606904,4695711,4808603,3457726,2017580,4433728,2029210,4175150,3930748,4139780,2462776,2457575,2383200,3049135,2024906
71.0125__50.32,11840506,10628855,9262458,8644796,8494268,8467698,7685971,11751185,10112578,11233105,11220142,10497536,8055270,9100121,7794456,6324224,8573216,14419234,14258385,10857135,9022488,12427201,14381951,14902891,11252676,15867571,11631929,14756511,13091155,11931234,8766771,9711935,10579786,12317807,11639281,11230401,8768076,10855773,8560526,9782150,10166345,13455093,12841946,9674473,11725116,13317245,13465449,9974202,9643886,12828844,13135862,10876109,14459286,12257303,15715824,13366489,13772647,11303083,10341181,10072160,8523079,11307484,13479781,10925293,9825864,10539016,8523486,12027647,7749321,12788553,11352294,10126391,9053685,8810346,13980246,15299251,13640668,12257575,12059151,14015680,11846322,8741821,7643642,9711765,11277815,12771084,12299726,13651278,11557107,12214882,11142280,9742246,11107005,11792680
101.0595__166.09,7572475,4800147,3010410,4424815,5142841,3604798,2578907,5219472,4196707,5673198,4662080,5016703,3768645,3501654,4524446,3157535,4010018,5175537,4708067,5473096,3904480,6961399,6478047,5401866,5681390,4321342,4674519,6693323,6614199,5082934,4078551,3911118,7025992,4963222,5295068,4505216,5205368,4710736,2936042,4636792,3290419,5129733,5173107,4355382,7633980,6887752,6064510,4188103,4390053,8310649,5582942,5075583,6228924,4265272,4092452,5040320,5456327,6065119,7034950,3693969,5365258,7288204,4004634,6087997,4069275,5516824,3956085,5931547,5082715,3490913,3916078,4104774,2903727,4737181,7410749,8049127,5857408,4487693,5853037,4438274,4507630,2749845,3616436,4340948,4619772,9520565,4402758,6393081,3728383,4530150,5249193,4746433,4729972,5314871
131.0815__39.87,19836809,22571394,17601466,15738846,14992457,17262181,16363115,15030326,13098770,14933743,15566431,15972910,13794873,16031646,11990982,16979532,19524620,12692360,11924203,15847014,13637132,15266230,18033991,12970881,17211626,11172256,19506959,13971933,14505583,19524234,17120424,18382282,10915420,14139655,17094913,12507455,15848660,16195354,14103218,11991824,13762544,16103819,16141747,17360694,17675733,17018240,15264830,17401437,24184572,21238901,20478614,14922728,11970420,16118446,14676672,14632877,15507225,21294114,14446071,20420152,18986988,13891216,14160849,22633246,14644148,16806647,12830920,13985041,13683028,17016394,16344956,11789389,16459750,16926274,13076144,19453027,17046290,21250558,13033358,20821935,14178298,18639452,21353243,12640278,12993098,14001833,19428057,13648318,13882308,20641043,15621307,16658481,13967775,15588426
102.0265__43.64,7093182,3351789,3084477,4196078,3151034,3208236,2422358,4085964,4045912,4070772,3747977,3654724,3346565,2782475,3448037,2080508,2488784,7489963,5488588,4721664,3619787,10743407,6806369,7450414,7835282,5982782,3787197,10581928,6371841,3151100,1355454,2764102,4172349,4215882,5220981,5226803,1733818,2873520,2737603,4837977,3070402,3697452,3475232,4623885,4312446,9363449,7032170,3684159,3544201,5272129,10896339,5695499,7447617,5783729,4616719,3211355,869620,3773154,4559650,5109981,3663064,4865896,2704276,4010110,3244734,4734168,4042557,5977013,2605189,2328957,4379493,2376903,2728174,4174267,5512620,4999632,4451946,6057229,3207632,2790675,6230799,3386416,2662369,3756011,3986150,7147822,4306726,6468197,4587981,2872417,5165289,2746834,3284898,4181141
102.0548__41.23,8463056,8783737,6640485,7605074,4315049,7933286,7181846,7934472,7897786,8272745,7598824,9069315,6113350,10173799,6321697,6674455,8436529,7283900,6850495,9006504,7754358,4935058,9093624,6907422,6580988,11206236,10561528,7673660,8679931,8424941,10957321,7679215,6434223,9781772,8510571,7702129,10293531,10828302,9759784,6449942,7759219,9642967,8984195,8335304,10584412,6617342,8278835,9217353,9493814,11974625,7612524,6450927,5492721,8888831,10865986,10707923,8892433,11179660,10055753,7305158,10780140,10731260,9639920,9029540,5727951,9055359,9916806,9796268,10845484,7830812,6350790,8293755,7737564,6398065,11839177,10529766,9227328,6098488,7534851,6810098,5675265,8250649,10089536,10752224,5121989,8941396,10449069,4531390,7540141,8786336,9508530,13683891,9391056,7165047
