#Official	logFC
DEPDC1B	2.727
CDC6	2.309
MELK	2.65
MCM10	2.98
PBK	3.025
DTL	2.775
TOP2A	2.914
RRM2	2.535
TYMS	2.783
CCNA2	1.899
CDC25A	2.571
CDK1	2.545
CDC45	2.491
BUB1	2.732
NUSAP1	1.795
BUB1B	2.722
GINS1	2.162
GTSE1	2.086
MCM6	1.123
MKI67	2.442
CHEK1	1.633
CDCA2	2.579
NCAPG	2.363
STIL	2.032
ZWINT	2.086
CCNB1	1.806
ASPM	2.584
ESCO2	2.306
KIF11	1.986
KIF14	2.345
MCM4	1.509
CLSPN	1.352
PARPBP	1.273
ORC1	1.891
KIF4A	2.648
SGO1	1.533
TRIP13	2.103
GINS4	1.333
DLGAP5	2.555
KIF15	2.388
DSCC1	2.108
HMMR	2.662
SHCBP1	1.971
HJURP	2.32
CCNB2	2.125
PLK4	1.766
EXO1	2.338
SKA3	2.342
E2F7	2.587
NDC80	1.097
TPX2	2.141
KNL1	1.899
UBE2C	1.276
CEP55	2.175
FOXM1	1.727
CENPA	2.268
MND1	1.949
GBGT1	-1.178
NEK2	1.943
DEPDC1	2.545
RAD51	1.988
RAD54L	2.233
E2F8	2.622
POLE2	1.688
TTK	2.267
POLQ	2.365
DIAPH3	2.445
PCLAF	1.638
SPAG5	1.545
CDCA5	2.096
HELLS	1.7
SKA1	1.516
PLK1	1.681
CENPI	1.836
NCAPH	1.801
PALM2AKAP2	1.671
FAM83D	1.71
CDC7	1.097
PRC1	1.584
HASPIN	2.066
CENPE	1.864
EME1	1.552
TICRR	2.247
CDCA8	1.299
RACGAP1	0.948
NUF2	1.671
GLDC	3.672
KIF20A	2.445
WEE1	1.173
CD38	1.621
DONSON	0.662
AURKA	1.188
CENPF	2.07
KPNA2	0.548999999999999
TCF19	1.287
WDHD1	1.267
KIF18A	1.915
FANCI	1.107
CENPU	1.2
SPC25	1.327
CKAP2L	1.907
WDR76	0.947
ORC6	1.216
ZNF367	1.129
KIF2C	1.997
MYBL2	2.335
EZH2	0.887
SLFN13	0.895
CDC25C	1.6
UCHL1	2.953
GINS2	1.828
OIP5	1.432
BIRC5	2.124
STMN1	1.293
ESPL1	1.679
ERCC6L	1.511
FAM111B	2.207
GGH	1.487
SUV39H2	1.07
MAD2L1	1.154
ATAD2	1.215
KIFC1	1.884
CIP2A	1.504
SPATS2	1.271
CDC20	2.161
CDK2	0.754
CDCA3	1.879
CDCA7	1.407
SELENOI	0.818
UBE2T	1.504
CENPN	0.999
CCNE1	1.322
BRIP1	0.83
CIT	1.69
FUT8	0.897
FBXO5	1.062
RAD51AP1	1.61
SCD	1.504
ANLN	2.207
KIF24	1.274
SLC44A1	0.722000000000001
ZWILCH	0.94
TSHR	2.174
ARHGAP11A	1.168
SDC1	3.631
TIMELESS	0.929
TXNDC5	2.495
UHRF1	1.244
BRCA2	1.358
CACNA2D3	-2.154
CENPK	1.681
RNA18SN2	-1.017
RNA18SN3	-1.017
RNA18SN4	-1.017
CAV1	2.4
CCDC150	1.448
KCNN3	2.203
TRAM2	1.237
PTTG1	1.309
NCAPG2	1.41
MTFR2	0.815
CCNE2	2.118
CEP128	1.419
TROAP	1.929
XRCC2	1.206
PSAT1	1.165
EPSTI1	2.311
SLC15A3	-1.095
CEP57L1	0.604
RFC5	0.77
NEIL3	1.769
NET1	1.057
DHCR24	1.059
MCM2	1.217
JCHAIN	3.759
GMNN	0.882
INHBA	2.723
ADIPOR2	0.440000000000001
IFI27	4.588
EIF2AK1	0.558999999999999
ARHGAP42	2.025
SEPTIN11	0.843999999999999
ACOXL	1.39
ARNTL2	1.082
CARS2	-0.723000000000001
KIF18B	0.998
LMAN1	1.391
CATIP	-1.142
SPDL1	0.834000000000001
SUCNR1	1.753
TTC9	-1.346
TENT5C	1.368
AIF1	-0.904
CDKN3	1.329
SLC12A9	-1.182
CENPL	0.665
RNA28SN4	-1.811
SMC2	1.072
NEURL1	-2.073
IGHG1	4.443
CENPJ	0.796
PDP2	0.722
METRNL	-1.138
GPRC5D	2.76
SLC8B1	-0.754999999999999
SLC35F2	1.177
TWF2	-1.064
GEN1	0.762
PKHD1L1	1.368
ALDH1L2	1.906
PPP1R17	-2.487
TNFRSF8	-1.161
SIN3B	-0.537000000000001
TAGLN	-1.348
FBP1	-1.113
COTL1	-0.823
CHAC2	1.221
LTB	-1.241
CTNNAL1	1.025
PGLS	-1.123
EIF3D	-0.435
GPR132	-0.862
BLM	0.805
TNNI2	-1.309
NAPSA	-1.466
NSD2	0.690999999999999
C12orf75	1.067
H2BC17	2.246
TPPP3	-2.2
MAPK8IP3	-0.760000000000002
HAAO	-1.225
ARHGEF12	1.175
RAD54B	1
ARHGEF5	0.977
FBH1	0.345000000000001
MACC1	1.19
ALG10	0.589
PLS1	1.334
EEF1D	-1.296
FXYD5	-1.072
DNA2	0.982
H4C8	1.864
TMCO6	-0.51
TBC1D22A	-0.561
ZNF215	1.678
E2F1	1.296
CCNF	0.932
GPR35	-1.181
LDLR	0.957000000000001
KIF23	1.173
SLC2A5	1.679
IRF4	1.253
RRM1	0.633999999999999
NUDT4	0.504000000000001
RASGRP3	1.264
SIPA1	-0.936
SIGLEC7	-0.878000000000002
MCM8	0.884
NCAPD2	0.59
CDC14B	1.132
SGO2	0.955
POGLUT3	0.718
CD1D	-0.768000000000001
FEN1	0.897
COLGALT1	-0.622999999999999
FAM98A	0.603
POLA1	0.832999999999999
RNPEPL1	-1.218
LAMC1	1.314
MTRF1	0.499000000000001
VPS37C	-0.744000000000001
ZDHHC1	-1.739
STK32C	-1.006
TNFRSF17	2.843
AKT1S1	-0.762
SLC12A2	0.87
PYCR1	1.989
RNA28SN1	-1.009
XK	1.249
MYO1D	1.275
PITPNC1	-0.58
SH3TC1	-1.174
DMC1	0.807
ZNF362	-0.521000000000001
ZRSR2	-0.542
UAP1	0.933
FAAH	-1.334
BATF3	-1.338
FAM72D	1.326
FKBP14	0.658
RGS16	1.101
MIXL1	1.99
ARHGAP4	-1.023
TNIK	0.911
IGF1	1.918
ARFGAP1	-0.992000000000001
TEX2	1.009
RFWD3	0.608000000000001
DHFR	0.945
PRPF6	-0.641
KCNQ5	1.088
PITPNM1	-0.82
CSK	-0.815000000000001
MMP17	-1.6
STK11IP	-0.763999999999999
WDR62	1.199
IER5L	-1.146
TBC1D10C	-1.081
NWD1	0.778
RPL8	-1.135
PIP4K2C	0.539000000000001
C19orf38	-0.868
HPS6	-0.847
DHRSX	-0.573
UBXN1	-0.856999999999999
DNAL1	0.269
NOP53	-1.255
RBMX2	-0.376000000000001
NSMF	-0.943
TRAPPC12	-0.713999999999999
SNAPC2	-1.257
EIF4E	0.443
GFPT1	0.604
YEATS2	0.491999999999999
ELL2	1.025
VANGL1	0.768
ATAD5	0.906
PPP1R9B	-0.509
SYNGR2	-0.879
RMI2	1.064
NAGS	-1.031
FAM72A	1.128
CEBPA	-0.931000000000001
BRAT1	-1.133
KNTC1	0.837
OASL	1.703
MZB1	2.677
KIF20B	0.890000000000001
INAVA	1.479
OSGIN1	-1.488
LIMD2	-0.942000000000002
ARL6IP4	-1.036
CNPY3	-0.709999999999999
MCUR1	0.621
IMPDH1	-0.778999999999998
NUDT4B	0.48
CEP20	0.445
NCKAP5L	-0.792999999999999
SEPTIN9	-0.767999999999999
HDGFL2	-0.763999999999999
SLC16A1	0.744
ZNF524	-1.5
TGFBI	-1.047
PAICS	0.659999999999998
SPRYD3	-0.628
CXCL3	1.266
GFI1	1.002
ZNF865	-0.870000000000001
SLC27A1	-1.24
TMEM187	-0.95
ENHO	-1.803
SMC4	0.592000000000001
TBC1D10A	-0.843999999999999
HNRNPLL	0.690000000000001
DYRK3	1.164
PCNA	0.587
CCNQ	-0.714
ZGPAT	-0.997000000000002
TBC1D10B	-0.591000000000001
CFP	-1.16
PTX3	1.453
ECT2	0.804
STARD4	0.886
TK1	1.47
SARS1	-0.402000000000001
ASAP2	1.671
SLC39A13	-1.001
NCAPD3	0.640999999999999
SEZ6L	-1.601
SUMF1	-0.588000000000001
GMEB1	0.298
RPL27A	-0.920999999999999
EIF3G	-0.918000000000001
BARD1	0.803
SYTL1	-1.121
CD300C	-0.935
FRG1	-0.414
GLDN	1.638
EGLN2	-0.975
ACTB	-0.719000000000001
RAB40C	-0.885000000000001
CDC42BPA	1.084
TMEM241	0.492
CD37	-0.566000000000001
CASP10	0.643000000000001
ABCA13	2.535
CCDC189	-0.764
TMEM106C	0.596
PAGR1	-0.574
STRN4	-0.627000000000001
ARF5	-0.873000000000001
NUCB1	-1.048
TIPIN	0.714
MED12L	1.472
NT5C	-0.925000000000001
H2BC15	1.329
SREBF1	-0.883999999999999
RTL8C	-0.839000000000001
SFTPD	-1.789
SNX21	-0.537
EGF	1.494
TNFRSF14	-0.924999999999999
AURKB	1.114
MED22	-0.505000000000001
RHOBTB1	1.205
ZNF775	-1.074
RPL13	-1.118
