#GENE.ID	FC
AATK	0.620027928
ABCC5	0.732549041
ABHD3	0.397711093
ABHD4	0.324653754
ACAT1	-0.748452844
ACAT2	-0.655672395
ACLY	-0.229198914
ACO2	-0.449558763
ACSL5	-0.376570988
ADAM19	0.630918962
ADAM8	0.363972481
ADM	0.812138301
ADSL	-0.671198436
AHCY	-0.415795648
AIMP1	-0.351820758
AK3	-0.449551216
AKAP8L	0.286232468
AKT1	0.446632386
ALDH2	-0.397283854
ALG5	-0.406259992
ALYREF	-0.651330687
AMD1	0.334191289
AMPD3	0.359285581
AMY2B	0.705354548
ANKRD13A	-0.332644176
ANKRD40	-0.373664324
ANP32A	0.286285754
ANTXR2	0.557431658
ANXA5	-0.323524126
AP1B1	-0.274150137
AP2S1	-0.318297822
APBB1IP	0.446702745
APH1A	-0.211935593
APOBEC3G	-0.470635336
APOBR	0.25577947
ARAP3	1.035405498
ARF4	-0.215910917
ARHGAP19	0.365140313
ARHGAP25	0.38577462
ARHGAP30	0.146599902
ARHGEF2	0.227895814
ARHGEF3	-0.425963547
ARHGEF40	1.147618966
ARHGEF7	0.346547123
ARID5A	0.402004188
ARIH1	-0.293696742
ARMC1	-0.382730377
ARRDC4	0.97737854
ASH2L	-0.259363257
ASNS	0.719712823
ATF5	-1.035637673
ATG12	0.270395294
ATG16L2	0.43678696
ATG4B	0.355533115
ATG5	-0.297581947
ATP2B1	0.648851574
ATP6V1F	-0.471830254
BASP1	0.749160443
BCL2L11	0.585180566
BCL2L13	-0.455400879
BCL6	0.650296628
BFAR	-0.493114055
BHLHE40	0.624246271
BIN2	0.233769294
BLOC1S2	-0.211886273
BRD8	0.43411006
BTN2A1	0.273725727
BTNL8	1.12562938
BZW1	-0.234840923
C16orf54	0.32126418
C16orf72	0.489393902
C19orf38	-0.380970033
C1D	-0.334096355
C1orf174	-0.564456305
C1RL	0.390651113
C22orf39	0.407259423
CACUL1	0.219413231
CALHM2	0.471827484
CAMKK2	0.298181817
CAMP	-2.144591048
CANT1	0.402981425
CAPG	-0.389520027
CAPN2	-0.272774273
CCDC115	-0.471616854
CCDC71L	0.410272697
CCDC9	-0.453456486
CCND3	-0.198649133
CCNDBP1	0.204049805
CCNK	-0.220388239
CCNY	0.403226253
CCR3	1.128953834
CD180	0.471411368
CD300A	-0.357454847
CD33	-0.654473899
CD36	-0.544452068
CD55	0.492949223
CDC42SE1	0.316719553
CDIPT	0.295202308
CEBPB	0.375581952
CEBPD	0.523382037
CELF1	0.323052257
CHMP4A	-0.427543478
CHPF2	0.224497585
CKLF	0.444242884
CLC	0.961428203
CLEC12A	0.878521212
CLK4	0.508387201
CLNS1A	-0.330045897
CMC2	-0.703970464
COA1	-0.724623738
COPS3	-0.288555346
COPS8	-0.677205621
COX7A2	-0.470240278
COX8A	-0.431469963
CPPED1	0.491521251
CPQ	0.469123398
CPSF3	-0.604658194
CPVL	-0.257587436
CR1	1.489230848
CREM	-0.547949164
CROCCP2	0.556389133
CRYZ	0.590335733
CSF3R	0.487281852
CSK	0.17311268
CUL1	-0.639185206
CUL4A	-0.208593146
CXCR1	0.566520877
CXCR2	0.811147903
CYBRD1	0.727678415
CYCS	-0.416364322
CYTH4	0.343138673
DAD1	-0.273844897
DANCR	0.476396722
DAPK2	0.919481593
DCAF8	0.283328176
DCP2	0.258116261
DDOST	-0.304150066
DDX1	-0.538796748
DEF8	0.404358504
DEFA1	-3.203276323
DEFA1B	-3.182135747
DEFA3	-2.944502823
DENND3	0.322881589
DERL1	-0.246968193
DGAT2	0.957809902
DHRS13	1.129716918
DHX34	0.445508572
DHX38	-0.256910256
DIP2A	0.274204255
DNAJC10	-0.242596909
DNAJC13	-0.498891579
DNMT1	-0.435908399
DOK3	0.592987776
DPF2	0.348757024
DRAP1	-0.392726198
DUT	-0.347471598
DVL3	0.257453747
DYNC1LI2	0.280376737
ECH1	-0.375477764
EFHD2	0.252362975
EGLN1	0.480094896
EIF1AX	0.542346638
EIF2S1	-0.476750643
EIF3H	-0.26210757
EIF3M	-0.30694842
EIF4G1	-0.374639298
ELMOD2	-0.320336673
EMC4	-0.336713863
EMC7	-0.440850853
EPSTI1	-1.305792146
ERAP1	-0.319402227
ERH	-0.239239932
ETS2	0.53016366
EXTL3	0.564228682
EZH1	0.381821048
F11R	0.338923804
FAM118A	-0.669981591
FAM126B	0.938043592
