"m.z"	"r.t"	"p.value"	"t.score"
85.0284	275.3	0.933814957	-0.083177816
85.0477	127	0.560124613	0.584495261
85.0648	261.8	0.208680801	1.262652287
85.076	160.9	0.148769204	1.451629176
85.0841	166.2	0.018416817	2.381915816
85.1012	271.6	0.762902988	-0.302180976
85.1146	256.3	0.500915549	0.674603936
85.2403	126.6	0.818917144	-0.229384816
86.002	217.1	0.055885315	-1.924975618
86.06	160.4	0.016635058	-2.421905701
86.0816	86	0.305867452	1.02733647
86.0964	91.5	2.58E-06	4.914368043
86.1113	86.4	0.160491513	1.410533555
86.4139	101.6	0.02710181	2.240408594
86.9086	92.8	0.115404421	1.583465603
87.0441	262.8	0.095263844	1.678807863
87.0553	124.4	0.415331058	0.817274352
87.0804	256.7	0.201373486	1.28299229
87.0805	29.2	0.162106029	-1.407161636
87.0916	271.8	0.248783556	1.157543818
87.0935	85	0.17983509	1.34780534
87.0998	92	5.14E-07	5.25034871
87.3453	281.4	5.94E-05	4.12408617
88.0044	247	0.173962932	1.365314341
88.0215	271.8	0.525879225	-0.635728433
88.0393	270.5	0.107612128	1.618577415
88.0578	116.8	0.534867102	0.622211631
88.0631	160	0.187255543	1.324191252
88.0677	62.2	5.53E-05	-4.290933883
88.0838	276.5	0.423240338	-0.802676155
88.0838	28.9	0.084166152	-1.742928841
88.1031	79	0.791583409	-0.264711051
88.112	110.5	0.609669912	0.511743953
88.4311	87.8	0.974523067	0.032011541
88.5091	153.1	0.054648964	-1.934928954
88.5647	161.3	0.407477876	0.83034492
88.7192	166.3	0.482376428	-0.703987994
88.932	203.5	0.707024049	0.376566971
88.9524	245.5	0.517318088	-0.648975543
88.9684	277.4	0.210705793	-1.256251183
89.0029	163.5	0.889129485	-0.139646224
89.0083	139.2	0.004980293	-2.844419334
89.0107	187.4	0.193690384	1.305750405
89.0419	255.8	0.200918697	1.283975439
89.0548	261.4	0.607121952	-0.515117938
89.0548	126.9	0.179633381	1.348546415
89.0685	69.7	6.57E-05	-4.241546519
89.0709	275.4	0.13707064	1.4955477
89.079	21	0.383420648	0.874506506
89.079	259.8	0.417928858	-0.812256621
89.491	171	0.399065598	0.845570435
89.5012	173.2	0.958031434	0.052709424
89.5043	118.8	0.294956535	1.050445152
89.5067	151.5	0.01080436	-2.576127159
89.5225	168	0.022450217	-2.306579304
89.9399	226.8	0.787803693	0.269605499
90.0053	162.4	0.977646284	0.028065799
90.0084	153.3	0.07778223	-1.774200675
90.0376	232.5	0.648858537	-0.456266828
90.055	118.4	0.175494943	-1.364331601
90.0631	265.7	0.084992755	1.733253685
90.0711	105.9	0.00427138	-2.921170955
90.0913	156.8	0.953021931	-0.05900269
90.507	162.4	0.059842381	-1.894192002
90.5101	180	0.326426058	-0.984234926
90.5258	188	0.0292484	-2.197880593
90.9605	106.2	0.25899532	-1.132840805
90.9706	107.5	0.549639862	0.599442873
90.9766	92.1	0.532994857	0.625316078
90.9824	112.7	0.814099532	-0.235579154
