map00281	Geraniol degradation
map00470	D-Amino acid metabolism
map00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis
map00965	Betalain biosynthesis
map00970	Aminoacyl-tRNA biosynthesis
map01010	Overview of biosynthetic pathways
map01052	Type I polyketide structures
map01054	Nonribosomal peptide structures
map01060	Biosynthesis of plant secondary metabolites
map01061	Biosynthesis of phenylpropanoids
map01062	Biosynthesis of terpenoids and steroids
map01063	Biosynthesis of alkaloids derived from shikimate pathway
map01064	Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid
map01065	Biosynthesis of alkaloids derived from histidine and purine
map01066	Biosynthesis of alkaloids derived from terpenoid and polyketide
map01070	Biosynthesis of plant hormones
map01100	Metabolic pathways
map01110	Biosynthesis of secondary metabolites
map01120	Microbial metabolism in diverse environments
map01200	Carbon metabolism
map01210	2-Oxocarboxylic acid metabolism
map01212	Fatty acid metabolism
map01220	Degradation of aromatic compounds
map01230	Biosynthesis of amino acids
map01240	Biosynthesis of cofactors
map01501	beta-Lactam resistance
map01502	Vancomycin resistance
map01503	Cationic antimicrobial peptide (CAMP) resistance
map01521	EGFR tyrosine kinase inhibitor resistance
map01522	Endocrine resistance
map01523	Antifolate resistance
map01524	Platinum drug resistance
map02010	ABC transporters
map02020	Two-component system
map02024	Quorum sensing
map02025	Biofilm formation - Pseudomonas aeruginosa
map02026	Biofilm formation - Escherichia coli
map02030	Bacterial chemotaxis
map02040	Flagellar assembly
map02060	Phosphotransferase system (PTS)
map03008	Ribosome biogenesis in eukaryotes
map03010	Ribosome
map03013	Nucleocytoplasmic transport
map03015	mRNA surveillance pathway
map03018	RNA degradation
map03020	RNA polymerase
map03022	Basal transcription factors
map03030	DNA replication
map03040	Spliceosome
map03050	Proteasome
map03060	Protein export
map03070	Bacterial secretion system
map03230	Viral genome structure
map03320	PPAR signaling pathway
map03410	Base excision repair
map03420	Nucleotide excision repair
map03430	Mismatch repair
map03440	Homologous recombination
map03450	Non-homologous end-joining
map03460	Fanconi anemia pathway
map04010	MAPK signaling pathway
map04011	MAPK signaling pathway - yeast
map04012	ErbB signaling pathway
map04013	MAPK signaling pathway - fly
map04014	Ras signaling pathway
map04015	Rap1 signaling pathway
map04016	MAPK signaling pathway - plant
map04020	Calcium signaling pathway
map04022	cGMP-PKG signaling pathway
map04024	cAMP signaling pathway
map04060	Cytokine-cytokine receptor interaction
map04061	Viral protein interaction with cytokine and cytokine receptor
map04062	Chemokine signaling pathway
map04064	NF-kappa B signaling pathway
map04066	HIF-1 signaling pathway
map04068	FoxO signaling pathway
map04070	Phosphatidylinositol signaling system
map04071	Sphingolipid signaling pathway
map04072	Phospholipase D signaling pathway
map04075	Plant hormone signal transduction
map04080	Neuroactive ligand-receptor interaction
map04110	Cell cycle
map04111	Cell cycle - yeast
map04112	Cell cycle - Caulobacter
map04113	Meiosis - yeast
map04114	Oocyte meiosis
map04115	p53 signaling pathway
map04120	Ubiquitin mediated proteolysis
map04122	Sulfur relay system
map04130	SNARE interactions in vesicular transport
map04136	Autophagy - other
map04137	Mitophagy - animal
map04138	Autophagy - yeast
map04139	Mitophagy - yeast
map04140	Autophagy - animal
map04141	Protein processing in endoplasmic reticulum
map04142	Lysosome
map04144	Endocytosis
map04145	Phagosome
map04146	Peroxisome
map04150	mTOR signaling pathway
map04151	PI3K-Akt signaling pathway
map04152	AMPK signaling pathway
map04210	Apoptosis
map04211	Longevity regulating pathway
map04212	Longevity regulating pathway - worm
