m.z	p.value	t.score
304.2979	1.02E-10	14.71793162
177.1024	1.62E-10	14.26660002
345.0277	1.72E-10	-14.20919527
491.0325	1.83E-10	-14.14634783
258.0048	2.17E-10	-13.98763632
483.1205	2.22E-10	-13.96763358
694.9937	2.81E-10	-13.74517209
270.9767	3.27E-10	13.60607048
371.604	3.53E-10	-13.53448299
316.5773	3.71E-10	13.48933327
451.0505	4.04E-10	-13.41234658
257.0543	4.09E-10	-13.40188655
762.9787	4.71E-10	-13.27414093
231.0422	5.14E-10	-13.19567729
614.0797	6.11E-10	13.04072883
213.0066	6.79E-10	12.94717141
416.2122	7.92E-10	12.81194375
310.0853	8.54E-10	-12.74652991
226.5313	9.50E-10	-12.65456694
159.0492	1.06E-09	-12.56243536
158.044	1.22E-09	12.43685454
538.1246	1.31E-09	-12.37830149
205.028	1.65E-09	12.18515127
339.0594	1.74E-09	-12.13810657
131.0331	1.99E-09	12.02641489
110.0345	2.43E-09	11.86303661
332.0717	2.78E-09	11.7535078
341.0998	2.84E-09	11.73664507
300.0466	3.12E-09	-11.65940719
617.1579	3.33E-09	11.60685517
339.0896	3.52E-09	11.56275477
481.2078	3.88E-09	11.48443658
602.1472	3.91E-09	-11.47809939
288.5685	4.59E-09	11.35072519
163.0602	5.15E-09	-11.25959436
260.0516	5.63E-09	11.18975254
347.0807	5.98E-09	11.14232555
374.0361	7.24E-09	-10.99389807
381.6003	7.30E-09	-10.98716428
214.0508	7.55E-09	-10.96081578
865.2138	8.08E-09	10.90882233
326.0566	9.08E-09	-10.81992458
338.0455	9.49E-09	-10.78608217
247.1274	1.07E-08	10.69233317
748.8553	1.21E-08	10.60094793
195.0786	1.28E-08	-10.55857103
140.5384	1.37E-08	10.50909423
482.0149	1.48E-08	-10.45379456
732.9237	1.57E-08	-10.40762376
352.0616	2.15E-08	-10.17708698
598.1143	2.33E-08	10.11900009
191.0477	2.35E-08	-10.11151748
191.0757	2.79E-08	9.98950255
573.2028	2.95E-08	-9.949838853
221.5757	3.07E-08	9.920225485
327.0505	3.32E-08	9.863426099
515.0199	3.85E-08	-9.759124842
186.5373	3.88E-08	-9.753797036
443.1035	4.05E-08	9.723765598
248.1057	4.19E-08	9.699977115
356.0921	4.51E-08	-9.648702277
101.0702	4.59E-08	-9.636267431
288.0706	4.91E-08	9.588973584
322.0271	5.31E-08	-9.535011109
372.141	5.53E-08	-9.506518513
364.0613	5.72E-08	-9.48233692
299.0491	5.91E-08	-9.46049783
598.9996	6.22E-08	9.424862359
319.093	6.58E-08	-9.386714491
466.0408	6.76E-08	-9.368381951
219.082	6.96E-08	-9.347870492
309.0929	7.70E-08	-9.279134589
477.2016	8.19E-08	-9.236877218
395.0387	8.33E-08	9.225551381
633.1537	8.84E-08	9.184960293
162.0213	8.86E-08	-9.183661686
484.0145	9.47E-08	-9.139130033
562.9521	9.77E-08	-9.117943907
204.1216	1.05E-07	9.07115957
834.9059	1.07E-07	-9.059658398
271.0746	1.15E-07	9.008237445
460.2673	1.31E-07	8.924204151
253.0847	1.53E-07	-8.818752843
629.0488	1.65E-07	8.770278538
247.0562	1.70E-07	8.750957229
277.1012	1.78E-07	8.722388054
400.3405	2.04E-07	8.631223623
531.0122	2.05E-07	8.627407375
665.4393	2.09E-07	-8.615206983
637.1154	2.54E-07	-8.489718017
471.0572	2.63E-07	-8.46955088
421.0829	2.85E-07	-8.418264523
102.0908	2.94E-07	-8.396328525
229.433	3.26E-07	8.331322422
142.0501	3.52E-07	8.283617117
493.0394	3.56E-07	-8.276656703
740.9089	3.76E-07	-8.241344081
473.0646	3.81E-07	-8.232807654
388.1146	4.11E-07	8.186097523
430.1086	4.21E-07	8.171524091
354.0771	4.33E-07	-8.153830941
195.0866	4.41E-07	-8.142364535
220.0088	4.52E-07	-8.12715423
303.0437	4.55E-07	-8.122165029
172.048	4.74E-07	8.097389093
277.0812	5.12E-07	-8.049385892
170.0414	5.19E-07	8.041429812
267.1318	5.36E-07	8.020658854
150.9762	5.57E-07	7.996882413
898.8455	6.02E-07	-7.949187542
614.1602	6.66E-07	-7.887372046
366.1834	6.89E-07	-7.866809908
494.0435	7.46E-07	-7.81838283
666.9892	8.33E-07	7.751676194
349.0871	9.44E-07	-7.675875951
158.1172	9.91E-07	7.646649761
684.9236	1.02E-06	7.630941971
492.8837	1.06E-06	7.605475534
462.2738	1.09E-06	7.588125299
488.0367	1.12E-06	-7.573703668
179.0898	1.19E-06	-7.539429753
284.1287	1.24E-06	7.512974959
597.1097	1.24E-06	7.511318102
281.0256	1.29E-06	-7.487867501
457.1196	1.31E-06	7.481696656
752.9077	1.36E-06	7.459942566
966.8533	1.41E-06	-7.437562686
476.9057	1.44E-06	7.426624672
766.9193	1.45E-06	-7.419284809
600.0923	1.57E-06	7.373785527
207.051	1.66E-06	7.34058417
238.0413	1.67E-06	7.338350773
796.0938	1.83E-06	-7.282760024
281.9194	1.93E-06	7.252851003
603.1595	2.07E-06	7.211425984
359.1534	2.14E-06	-7.194211029
771.0279	2.18E-06	7.183919245
636.1261	2.23E-06	-7.168681683
437.1309	2.33E-06	-7.145038666
842.9045	2.39E-06	-7.128363803
238.0376	2.66E-06	-7.068329467
708.2681	2.85E-06	7.028445398
277.0609	2.87E-06	-7.024786673
814.889	2.93E-06	7.012265917
407.0738	3.03E-06	-6.99372983
353.0898	3.12E-06	6.976040751
684.9629	3.30E-06	-6.944155242
306.0621	3.41E-06	6.926799885
150.0194	3.61E-06	-6.893564192
440.0623	3.64E-06	6.888764015
415.2066	3.77E-06	6.869806939
470.012	4.00E-06	6.836580474
333.103	4.34E-06	6.790602751
233.0577	4.35E-06	-6.788488702
320.0817	4.58E-06	-6.760199831
298.1001	4.61E-06	-6.756687148
236.0944	4.64E-06	6.752502805
347.0928	4.70E-06	-6.745242449
795.898	4.84E-06	-6.729583622
331.1311	4.92E-06	-6.719573667
220.0421	4.95E-06	6.716917416
727.9153	5.33E-06	-6.675062291
295.1162	5.38E-06	6.670712226
370.9827	5.47E-06	6.660738663
302.304	5.80E-06	-6.628591477
557.1399	6.01E-06	-6.608716123
208.0293	6.11E-06	-6.599974847
371.0753	6.60E-06	-6.556875077
305.1077	6.74E-06	6.545740055
741.3904	6.91E-06	-6.531621797
900.9585	7.22E-06	-6.507957503
650.9291	7.61E-06	6.478623984
370.0653	7.79E-06	-6.465757835
204.9561	7.84E-06	6.462691967
307.0034	7.97E-06	-6.453543924
696.9977	8.03E-06	-6.449623212
458.2517	8.53E-06	6.416533831
546.9869	8.67E-06	6.407488006
342.064	9.00E-06	-6.387429727
718.9175	9.05E-06	6.384301931
413.0159	9.32E-06	-6.368544756
666.1968	9.63E-06	-6.350315608
335.1038	1.00E-05	6.330167742
863.9195	1.09E-05	-6.282831492
455.1099	1.14E-05	-6.257306464
371.1583	1.15E-05	-6.253102785
275.0662	1.16E-05	-6.250056451
256.0808	1.24E-05	6.21440815
775.9083	1.28E-05	-6.198082188
155.0897	1.39E-05	6.154232743
868.8499	1.41E-05	-6.144521685
890.9291	1.45E-05	-6.130049277
336.0461	1.47E-05	6.124242618
414.0358	1.49E-05	-6.113871543
369.0819	1.53E-05	-6.101813961
539.8061	1.56E-05	-6.091328666
135.0661	1.66E-05	-6.057181961
797.239	1.69E-05	6.049990708
801.4074	1.73E-05	-6.037248783
273.09	1.81E-05	-6.011011027
350.983	1.89E-05	-5.989522166
932.0612	1.96E-05	-5.970327696
131.0155	2.01E-05	5.956444463
392.9592	2.06E-05	-5.943580075
553.9899	2.09E-05	5.936614962
283.2819	2.24E-05	-5.898996673
851.3743	2.25E-05	-5.896587474
338.1038	2.49E-05	-5.845314921
167.0886	2.63E-05	-5.815188302
376.9894	2.66E-05	5.808878177
465.1294	2.75E-05	5.792447393
516.1674	2.90E-05	-5.764502163
681.5126	3.02E-05	5.742971353
289.099	3.10E-05	-5.730111942
216.8965	3.16E-05	-5.719447995
689.0603	3.26E-05	-5.704168296
417.215	3.33E-05	5.693088044
280.2616	3.42E-05	5.678804525
860.9175	3.67E-05	5.643322298
590.1473	3.83E-05	5.620417238
447.0666	3.92E-05	-5.608702503
263.0832	3.99E-05	-5.600268165
136.0623	4.11E-05	5.584947046
1034.96	4.18E-05	-5.575522972
494.3192	4.29E-05	5.562343565
295.0932	4.33E-05	5.557853793
313.103	4.40E-05	5.549027607
174.9331	4.58E-05	-5.528583608
289.047	4.70E-05	-5.515577284
433.241	4.73E-05	5.512633805
176.0368	4.78E-05	5.507222536
116.0335	4.82E-05	-5.502199136
135.0023	4.92E-05	5.492690553
300.2883	5.05E-05	-5.478568309
816.8836	5.33E-05	-5.451700784
876.8212	5.42E-05	-5.442446536
203.555	5.48E-05	-5.437318906
969.0326	5.74E-05	-5.413799865
276.1172	5.81E-05	-5.407753944
682.9627	5.82E-05	5.406323162
667.2191	6.03E-05	5.388373618
868.3694	6.48E-05	-5.352254819
311.0872	6.57E-05	-5.345145557
442.1462	6.73E-05	5.332920812
372.3093	6.93E-05	5.317993479
443.1493	6.94E-05	5.317522601
681.4906	7.32E-05	-5.290423472
733.421	7.44E-05	-5.282135929
803.8461	7.53E-05	-5.276391485
135.0798	8.06E-05	5.242255913
584.9732	8.13E-05	-5.237437449
504.2827	8.29E-05	-5.227821191
177.0596	8.47E-05	-5.217365904
292.1164	8.53E-05	-5.213346464
468.3072	8.62E-05	5.208054531
246.1198	8.73E-05	5.20213723
492.0362	8.84E-05	-5.195835959
168.9891	8.90E-05	5.192272154
560.8719	8.99E-05	5.187179396
264.1495	9.10E-05	5.181080914
936.8553	9.21E-05	-5.174924348
104.0521	0.000100402	-5.131890956
343.0359	0.000101158	-5.128141724
752.9736	0.000102276	-5.12265161
399.9926	0.000103841	5.115071335
400.0113	0.000106114	-5.10426776
217.0633	0.000107927	5.095821709
362.0125	0.000111687	5.078756481
290.1027	0.000115286	-5.062968443
307.0501	0.000116995	-5.055646237
449.1226	0.000117535	-5.053353852
230.9613	0.000121988	-5.034873926
396.1514	0.000126332	5.017495845
307.042	0.000130901	4.999872184
831.9755	0.000131114	-4.999068914
147.0633	0.000132766	4.992862649
642.9799	0.000135423	-4.983044151
543.1499	0.000136695	-4.97841269
613.8842	0.000137866	4.974189103
250.0712	0.000139541	4.968209981
190.07	0.00014042	4.965102633
500.166	0.000144878	4.949643433
733.9334	0.000145294	-4.948226953
824.8841	0.000145837	-4.946382218
387.1861	0.000147006	4.942437692
833.3576	0.000161416	4.896277576
289.0779	0.000164719	4.886295881
