m.z	mode	p.value	t.score
582.74384	negative	2.8981E-19	51.914
415.76223	positive	2.2238E-16	34.15
415.26049	positive	5.0108E-16	32.437
734.5678	positive	5.6777E-16	32.181
786.2795	negative	1.1436E-15	30.782
643.74718	negative	1.4589E-14	26.175
393.73938	positive	2.6761E-14	25.18
582.24213	negative	2.7204E-14	25.153
430.7472	positive	5.2338E-14	24.121
593.4411	positive	1.1444E-13	-22.939
394.74207	positive	3.3767E-13	21.394
732.55173	positive	3.5559E-13	21.323
518.33142	positive	6.2925E-13	-20.551
733.55492	positive	8.6087E-13	20.138
639.94421	positive	1.0313E-12	-19.903
706.53564	positive	1.7823E-12	19.208
663.26904	negative	2.189E-12	18.953
414.76296	positive	2.9125E-12	18.603
589.08137	positive	2.9266E-12	-18.598
304.2994	positive	7.7907E-12	-17.444
571.42795	positive	1.3926E-11	-16.791
425.22091	positive	1.8523E-11	16.478
452.30252	positive	2.2695E-11	-16.258
394.29609	negative	3.3572E-11	-15.843
258.9414	positive	3.8892E-11	-15.689
754.53253	positive	1.0591E-10	14.676
683.01745	positive	2.205E-10	-13.972
587.04236	positive	4.6897E-10	-13.277
756.5493	positive	5.0012E-10	13.22
462.29825	negative	6.1445E-10	13.036
189.05227	positive	8.0411E-10	-12.799
128.95945	negative	8.2706E-10	-12.775
438.22882	positive	8.7247E-10	12.728
719.5754	positive	1.0278E-09	12.586
730.53579	positive	1.0467E-09	12.571
469.06565	negative	1.0585E-09	-12.561
429.9701	positive	2.8675E-09	-11.728
326.93758	positive	2.9005E-09	-11.718
535.11932	positive	2.9945E-09	-11.692
718.572	positive	3.1298E-09	11.657
401.22085	positive	3.2162E-09	11.635
414.26265	positive	3.4182E-09	11.585
538.3138	negative	3.4999E-09	11.566
183.969	positive	3.9526E-09	-11.469
737.28322	positive	4.754E-09	-11.322
255.58204	positive	5.7674E-09	-11.17
464.31395	negative	5.8535E-09	11.159
267.55239	positive	7.3304E-09	-10.984
304.74216	positive	7.355E-09	-10.981
806.56677	positive	7.7609E-09	10.94
224.99542	positive	9.6769E-09	-10.771
362.7006	positive	1.097E-08	-10.676
179.93607	negative	1.1919E-08	10.614
720.58725	positive	1.2121E-08	10.601
402.93231	positive	1.2909E-08	-10.554
343.16043	positive	1.3224E-08	10.536
133.06069	positive	1.4612E-08	-10.461
233.07827	positive	1.6075E-08	-10.391
220.96763	positive	1.8409E-08	-10.291
392.74165	positive	1.9786E-08	10.238
228.00641	positive	2.0785E-08	-10.202
144.60503	positive	2.1855E-08	10.165
478.61798	positive	2.2009E-08	-10.16
461.69018	positive	2.3018E-08	10.128
402.24775	positive	2.3957E-08	10.099
298.27369	positive	2.6462E-08	10.027
769.21948	positive	2.7306E-08	-10.004
721.55493	positive	2.8046E-08	9.9851
345.98201	positive	3.0603E-08	-9.9226
245.01359	positive	3.2006E-08	9.8906
140.506	positive	3.3916E-08	-9.8493
737.57675	positive	3.5034E-08	9.8263
192.15933	positive	3.5923E-08	-9.8085
244.78665	positive	3.8035E-08	-9.7681
131.50076	positive	3.823E-08	-9.7645
623.01589	positive	4.6363E-08	-9.629
251.03639	positive	5.0835E-08	-9.5647
246.78375	positive	5.2397E-08	-9.5437
219.97083	positive	6.0198E-08	-9.4477
308.09838	negative	6.4604E-08	-9.399
173.49486	positive	7.1773E-08	-9.3269
261.08774	positive	7.6167E-08	-9.2864
128.01768	positive	7.7586E-08	-9.2738
256.94423	positive	7.8536E-08	-9.2655
479.1997	positive	7.8895E-08	-9.2624
518.83336	positive	8.0398E-08	-9.2496
480.61486	positive	8.2915E-08	-9.2287
237.09118	negative	9.2129E-08	-9.1574
267.12515	positive	1.2655E-07	8.945
828.54904	positive	1.3029E-07	8.9257
255.0661	negative	1.4009E-07	8.8778
381.10914	positive	1.4738E-07	-8.8443
140.01173	negative	1.5572E-07	-8.8081
716.55662	positive	1.5871E-07	8.7956
418.66188	positive	1.5883E-07	-8.7952
531.12352	positive	1.5995E-07	-8.7905
213.06688	negative	1.6072E-07	8.7874
297.02063	positive	1.6661E-07	-8.7638
170.85421	positive	1.7065E-07	-8.7482
422.65642	positive	1.7175E-07	-8.7439
188.04264	positive	1.7669E-07	-8.7254
215.89102	positive	1.7716E-07	-8.7237
126.02185	positive	1.8284E-07	-8.7031
124.00722	negative	1.9213E-07	-8.6709
596.53182	positive	1.9538E-07	-8.66
460.27907	positive	2.0308E-07	8.6349
239.10579	positive	2.0523E-07	-8.6281
196.94683	negative	2.1069E-07	-8.6111
536.20726	negative	2.1444E-07	8.5997
293.02492	positive	2.2082E-07	-8.5808
198.04814	positive	2.2565E-07	-8.5668
197.04794	positive	2.2682E-07	-8.5635
108.01131	positive	2.2745E-07	-8.5617
332.09468	positive	2.4822E-07	-8.5055
533.12379	positive	2.4874E-07	-8.5042
305.14783	positive	2.6376E-07	8.4666
774.53069	positive	2.6809E-07	8.4562
