#KEGG  logFC
C00116  1.010972619
C00565  -0.714283001
C00033  0.822193121
C00583  -1.005192252
C00022  -0.623838569
C00719  -0.406052491
C05984  -0.390152174
C00207  -0.932835099
C00065  0.903658797
C00031  0.548035915
C00079  0.416744818
C02632  -0.515041676
C00064  -0.497216411
C00114  1.102078837
C00073  0.516193785
C00082  -0.306578119
C00186  0.557923392
C00037  0.692853454
C00543  -0.504626966
C00077  -0.296727279
C00058  -1.106293311
C00188  0.419051627
C00407  -0.238389886
C00791  0.489764981
C00062  0.291549231
C00300  -0.230475941
