#Entrez  logFC
1737  -1.277784317
83440  -1.034136439
3939  -2.231729728
10911  -1.045657875
10690  -0.968308832
10010  -0.861541301
11224  1.187399591
63826  -1.405238611
11031  0.785011172
4190  -1.778774832
10782  -2.140715987
10993  -0.925083829
10455  1.732172706
10963  1.177511121
10282  -1.20754269
11232  -1.350237118
1188  0.970150527
1629  -2.12657836
10039  -0.90466867
1140  1.06983201
10019  -0.812495226
112755  0.9098159
10672  0.288793451
10007  -0.794007568
1213  0.882655346
118788  -0.528173754
10594  -1.089337396
189  -1.042517163
11186  -0.82323137
11264  0.711364481
108  0.62988415
121130  -1.042255311
10390  0.74682906
10161  -1.275388817
10060  -0.520919285
10810  0.618279383
113612  -0.740497106
1119  0.422432666
10164  1.130479765
10335  0.694475637
10682  -1.091189118
10154  -0.772085197
10105  1.247918875
10623  0.908457741
10059  0.862725118
10333  -0.82345721
10500  1.459819774
10855  -1.666582286
1176  0.628715294
10134  0.923345101
11164  0.695870883
10093  0.613215723
10505  -0.883293314
1147  -0.478966079
118672  0.403268602
10850  1.878926706
10005  -0.798633737
10251  -0.541530022
10652  0.685823694
1002  0.740613883
114049  -0.614679146
10585  -0.850171689
10235  -1.820791793
11184  0.984114574
10913  0.592938184
1017  0.482589856
1138  -0.349112563
10458  -0.399310152
10808  0.586720929
11338  -0.598668588
10402  -0.341544824
10929  1.317150626
10798  -0.953166124
100137049  0.600107
11019  0.566841949
11255  -0.597191015
115653  -0.647508833
11040  -0.594830315
10267  0.321729701
1142  -0.666899541
1146  -0.960456345
11065  0.648612947
10501  -0.748228997
1019  0.709995916
1132  -0.759001563
10825  0.476331967
10842  -0.686530537
11025  0.629502315
10947  1.392884497
120066  0.556681364
1203  -0.47156543
116444  -1.196414218
10477  0.629782205
10558  0.427707898
118460  0.645484607
11332  0.758752635
120796  -1.028453662
10130  -0.442312714
11154  -0.663772303
10490  -0.470586679
1158  0.786099081
11009  0.618508059
10342  0.302995038
113189  0.813611054
10725  0.323401696
1050  0.454986836
103  0.582861073
10201  0.174926926
10802  -0.568140777
10555  -0.63291611
100133941  0.118444419
1179  -0.179802018
10535  1.162072272
10273  0.304855195
10580  -0.270079131
10629  -0.435064587
10523  1.187450912
10992  0.495681738
1032  -0.167455258
116983  -0.468076014
10229  0.477012396
10938  -0.577200506
10239  0.694235542
11112  -0.501233689
11231  0.297208155
1139  0.359238665
10478  -0.454669995
1022  -0.496056989
11001  0.750077632
1136  -0.673502902
119679  -0.449531035
10483  -0.294656438
1021  -0.229008802
10277  0.313914104
10327  0.449884972
10075  0.455113728
119749  -0.463842723
10718  0.335638817
1080  0.187577315
10723  0.289030766
1160  0.494445588
10438  0.544719771
1031  0.333708997
10317  -0.416379172
119692  -0.369811566
1081  -0.229557838
10563  -0.394509662
10054  -0.694063356
10915  0.452818272
11017  -0.822706723
10008  0.399109719
10381  0.564966237
10919  1.053943782
10683  -0.174953699
117157  -0.326999861
119682  0.355261324
1152  -0.304305827
10991  -0.407519593
1020  0.092384561
115727  0.291583504
10873  0.393375095
10717  0.104477862
10053  0.360090661
