#KO	#Abundance
K00106	1.9705
K00477	-1.5641
K00551	0.0407
K00591	0.0595
K00613	1.7774
K00650	-0.2796
K00729	0.4328
K00737	-0.2762
K00801	0.169
K00830	0.2689
K00904	-0.3155
K01044	-0.1765
K01132	0.3143
K01135	0.2544
K01173	0.378
K01202	0.234
K01369	0.6126
K01392	-0.2809
K01509	0.0836
K01593	0.4609
K03248	-1.3922
K03434	0.1394
K04564	-0.3433
K05286	0.1846
K05288	-1.4848
K07432	-0.5284
K07441	-1.3438
K08683	-0.7303
K08735	-0.4474
K08739	0.4799
K09516	-0.413
K10615	-0.5036
K10800	-0.1276
K10847	-0.1476
K10866	-0.1336
K11214	-1.3518
K12344	-1.815
K12615	0.2857
K13566	-0.8284
K13837	-0.809
K13985	0.0378
