hmdb,name,conc,biotype,pubmed,references,notes,conc_unit
HMDB0000001,1-Methylhistidine,2.26 - 4.0 - 5.74, csf,17031479,,Both,uM
HMDB0000001,1-Methylhistidine,1.9 - 4.6 - 7.3,urine,11052553,,Male,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 2.3 - 7.4,urine,11052553,,Female,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 46.1 - 99.6,urine,11052553,,Female,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 15.9 - 35.4,urine,11052553,,Female,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 28.1 - 59.9,urine,11052553,,Male,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 1.3 - 4.06,urine,11052553,,Male,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,3.9 - 45.5 - 87.1,urine,11052553,,Male,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 33.6 - 70.0,urine,11052553,,Female,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,1.9 - 9.1 - 16.3,blood,,"Geigy Scientific Tables, 8th Rev edition, pp. 85-97. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Not Specified,uM
HMDB0000001,1-Methylhistidine,0 - 4.0 - 12.0,blood,,"Geigy Scientific Tables, 8th Rev edition, pp. 85-97. Edited by C. Lentner, West Cadwell, N.J.: Medical education Div., Ciba-Geigy Corp., Basel, Switzerland c1981-1992.",Both,uM
HMDB0000001,1-Methylhistidine,5.8 - 7.7 - 9.6,blood,7061274,,Both,uM
HMDB0000001,1-Methylhistidine,12.1 - 14.4 - 16.7,blood,7061274,,Both,uM
HMDB0000001,1-Methylhistidine,17.0 - 19.6 - 22.2,blood,7061274,,Both,uM
HMDB0000001,1-Methylhistidine,9.8 - 12.7 - 15.6,blood,7061274,,Both,uM
HMDB0000001,1-Methylhistidine,16.2 - 20.2 - 24.2,blood,7061274,,Both,uM
HMDB0000001,1-Methylhistidine,0 - 30.0 - 73.0,urine,15899597,,Both,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,2.4 - 8.3 - 28.4,urine,24023812,,Both,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 15.9 - 35.4,urine,11052553,,Female,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,8.358 - 21.329 - 34.3,urine,,"Mordechai, Hien, and David S. Wishart",Not Specified,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 46.0833 - 99.5153,urine,11052553,,Female,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,3.856 - 45.473 - 87.09,urine,11052553,,Male,umol/mmol creatinine
HMDB0000001,1-Methylhistidine,0 - 15.919 - 35.422,urine,11052553,,Female,umol/mmol creatinine
