"",id,trait,note,group_name,mr,year,author,sex,pmid,population,unit,sample_size,nsnp,build,category,subcategory,ontology,ncase,consortium,ncontrol,priority,sd
"1",ieu-b-5075,Systolic blood pressure,NA,public,1,2021,Sakaue et al.,Males and Females,34594039,East Asian,mmHg,145505,13230376,HG19/GRCh37,Risk factor,Blood pressure,NA,,,,,
"2",ieu-b-5064,Sepsis (28 day death),"HES coded only (secondary care). Performed using regenie v2.2.4, adjusted for age, sex, chip, and the first 10 PCAs",public,,2021,Hamilton F,Males and Females,,European,logOR,486484,12243487,HG19/GRCh37,Disease,NA,HP:0100806,1896,UK Biobank,484588,,
"3",ukb-b-1489,Cheese intake,1408: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,451486,9851867,HG19/GRCh37,Categorical Ordered,NA,NA,,MRC-IEU,,1,
"4",ukb-b-8727,Age at last live birth,2764: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,170248,9851867,HG19/GRCh37,Continuous,NA,NA,,MRC-IEU,,1,
"5",ukb-a-583,Diagnoses - main ICD10: R11 Nausea and vomiting,NA,public,1,2017,Neale,Males and Females,,European,SD,337199,10894596,HG19/GRCh37,NA,NA,NA,1365,Neale Lab,335834,1,
"6",ukb-b-12466,Treatment/medication code: vitamin c product,20003#1195: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,2018,Ben Elsworth,Males and Females,,European,SD,462933,9851867,HG19/GRCh37,Binary,NA,NA,1222,MRC-IEU,461711,1,
"7",ukb-e-767_EAS,Length of working week for main job,NA,public,1,2020,Pan-UKB team,Males and Females,,East Asian,NA,1672,8284213,HG19/GRCh37,Continuous,NA,NA,1672,NA,0,0,
"8",ukb-e-1707_p1_MID,Handedness (chirality/laterality),NA,public,1,2020,Pan-UKB team,Males and Females,,"Greater Middle Eastern (Middle Eastern, North African, or Persian)",NA,1573,11561930,HG19/GRCh37,Binary,NA,NA,1435,NA,138,0,
"9",ukb-e-1883_AFR,Number of full sisters,NA,public,1,2020,Pan-UKB team,Males and Females,,African American or Afro-Caribbean,NA,6360,15532064,HG19/GRCh37,Continuous,NA,NA,6360,NA,0,0,
"10",finn-b-REAC_ARTHRO_NOS,Other/unspecified reactive arthropathies,REAC_ARTHRO_NOS,public,1,2021,NA,Males and Females,,European,NA,,16380465,HG19/GRCh37,Binary,NA,NA,971,NA,217683,0,
