"","x"
"1","1-Methylhistidine"
"2","2-Hydroxybutyric acid"
"3","4-Pyridoxic acid"
"4","alpha-Ketoisovaleric acid"
"5","(S)-3-Hydroxyisobutyric acid"
"6","Ureidopropionic acid"
"7","Taurocholic acid"
"8","Acetic acid"
"9","Betaine"
"10","Argininosuccinic acid"
"11","Bilirubin"
"12","Acetoacetic acid"
"13","L-Carnitine"
"14","Creatine"
"15","Cholesterol"
"16","Pipecolic acid"
"17","cis-Aconitic acid"
"18","Dihydrothymine"
"19","Dimethylamine"
"20","Dimethylglycine"
"21","Citric acid"
"22","Cytidine monophosphate"
"23","Choline"
"24","D-Xylose"
"25","L-Cystathionine"
"26","Ethanol"
"27","gamma-Aminobutyric acid"
"28","Glycolic acid"
"29","D-Glucose"
"30","Glycine"
"31","Guanidoacetic acid"
"32","Guanosine"
"33","Fumaric acid"
"34","Glycocholic acid"
"35","Formic acid"
"36","D-Galactose"
"37","L-Glutamic acid"
"38","Ethanolamine"
"39","Malic acid"
"40","Hypoxanthine"
"41","L-Tyrosine"
"42","L-Phenylalanine"
"43","L-Alanine"
"44","L-Proline"
"45","Methylamine"
"46","L-Threonine"
"47","L-Asparagine"
"48","D-Mannose"
"49","L-Isoleucine"
"50","Maleic acid"
"51","L-Histidine"
"52","L-Lysine"
"53","L-Serine"
"54","L-Lactic acid"
"55","L-Aspartic acid"
"56","Inosine"
"57","Indoleacetic acid"
"58","L-Acetylcarnitine"
"59","Methylmalonic acid"
"60","Phenylpyruvic acid"
"61","N6-Acetyl-L-lysine"
"62","Oleic acid"
"63","Oxoglutaric acid"
"64","Phenylacetic acid"
"65","Pantothenic acid"
"66","myo-Inositol"
"67","Ornithine"
"68","N-Acetyl-D-glucosamine"
"69","Palmitic acid"
"70","Palmitoylcarnitine"
"71","O-Phosphoethanolamine"
"72","Orotic acid"
"73","N-Acetylneuraminic acid"
"74","Quinolinic acid"
"75","Pyruvic acid"
"76","Sorbitol"
"77","Taurine"
"78","Succinic acid"
"79","Sucrose"
"80","Pyroglutamic acid"
"81","Uric acid"
"82","Vanillylmandelic acid"
"83","Urea"
"84","Uridine"
"85","Xanthosine"
"86","Uracil"
"87","Urocanic acid"
"88","Vitamin A"
