"gene","edge","net"
"K00600","edg1","ko01100"
"K00600","edg2","ko01100"
"K00600","edg3","ko01100"
"K00600","edg4","ko01100"
"K00600","edg5","ko01100"
"K00600","edg6","ko01100"
"K00600","edg7","ko01100"
"K00600","edg8","ko01100"
"K00600","edg9","ko01100"
"K00600","edg10","ko01100"
"K00600","edg11","ko01100"
"K00600","edg12","ko01100"
"K00600","edg13","ko01100"
"K00600","edg14","ko01100"
"K00600","edg15","ko01100"
"K00600","edg16","ko01100"
"K00600","edg17","ko01100"
"K00600","edg18","ko01100"
"K00600","edg19","ko01100"
"K00600","edg20","ko01100"
"K00600","edg21","ko01100"
"K00600","edg22","ko01100"
"K00600","edg23","ko01100"
"K00600","edg24","ko01100"
"K00600","edg25","ko01100"
"K00600","edg26","ko01100"
"K00600","edg27","ko01100"
"K00600","edg28","ko01100"
"K00600","edg29","ko01100"
"K00600","edg30","ko01100"
"K00600","edg31","ko01100"
"K00600","edg32","ko01100"
"K00600","edg33","ko01100"
"K00600","edg34","ko01100"
"K00600","edg35","ko01100"
"K00600","edg36","ko01100"
"K00600","edg37","ko01100"
"K00600","edg38","ko01100"
"K00600","edg39","ko01100"
"K00600","edg40","ko01100"
"K00600","edg41","ko01100"
"K00600","edg42","ko01100"
"K00600","edg43","ko01100"
"K00600","edg44","ko01100"
"K00600","edg45","ko01100"
"K00600","edg46","ko01100"
"K00600","edg47","ko01100"
"K00600","edg48","ko01100"
"K00600","edg49","ko01100"
"K00600","edg50","ko01100"
"K00600","edg51","ko01100"
"K00600","edg52","ko01100"
"K00600","edg53","ko01100"
"K00600","edg54","ko01100"
"K00600","edg55","ko01100"
"K00600","edg56","ko01100"
"K00600","edg57","ko01100"
"K00600","edg58","ko01100"
"K00600","edg59","ko01100"
"K00600","edg60","ko01100"
"K00600","edg61","ko01100"
"K00600","edg62","ko01100"
"K00600","edg63","ko01100"
"K00600","edg64","ko01100"
"K00600","edg65","ko01100"
"K00600","edg66","ko01100"
"K00600","edg67","ko01100"
