"m.z" "r.t" "p.value" "t.score" "log2.fc" "effect.size" "st.dev" "lower.ci" "upper.ci" "mode"
"100.0193" "43.83" "0.742610491023438" "-0.63367036509723" "-0.21411" "-0.189941862465876" "0.21195469864191" "-0.79415332275168" "0.414269597819927" "negative"
"100.9318" "112.22" "0.490257831250964" "-1.14930097447994" "-0.26494" "-0.344501462669902" "0.251184333942022" "-0.951439828239679" "0.262436902899876" "negative"
"100.9629" "95.35" "0.047696006595775" "-2.71982323085303" "-0.14951" "-0.815263453210273" "0.0592443380839479" "-1.43992621946851" "-0.190600686952033" "negative"
"100.9656" "239.03" "0.798123524274306" "-0.506002384517556" "0.04635" "-0.151673552404004" "0.342059172279866" "-0.755452315967616" "0.452105211159608" "negative"
"100.9657" "232.32" "0.0500789373923809" "-2.6940084186145" "-0.47905" "-0.807525497033262" "0.500981566134324" "-1.43178626635882" "-0.183264727707699" "negative"
"100.9838" "44.94" "0.258055566677499" "-1.71025125247971" "-1.3201" "-0.512645574218623" "0.447895297205523" "-1.12431266582827" "0.0990215173910259" "negative"
"101.0002" "90.11" "0.698410698811093" "-0.714063648755535" "-0.078236" "-0.214039644007961" "0.128478228014518" "-0.818573117854963" "0.390493829839042" "negative"
"101.0226" "226.5" "0.640590307901791" "0.833424066966895" "0.027649" "0.249817773124498" "0.131836007945351" "-0.355264261898478" "0.854899808147474" "negative"
"101.02261" "32.19" "0.58025890078546" "-0.953956085964315" "0.39658" "-0.285947088043035" "0.901392578875965" "-0.891668314067739" "0.319774137981669" "negative"
"101.059" "40.81" "0.300304244565018" "1.59362655462417" "0.67684" "0.477687473697696" "0.53499263476045" "-0.132847070166963" "1.08822201756235" "negative"
"102.0542" "33.67" "0.362769368756183" "-1.43305908486751" "-0.15262" "-0.429557584820325" "0.202932581471267" "-1.0386606696074" "0.179545499966752" "negative"
"102.05421" "41.09" "0.0002071540148971" "4.87876085136306" "1.1058" "1.46240217891729" "0.194198297498112" "0.792225748359553" "2.13257860947503" "negative"
