KO,Label,Entrez_hsa,Name,EC
K00001,"E1.1.1.1, adh",-1,alcohol dehydrogenase ,1.1.1.1
K00002,"AKR1A1, adh",10327,alcohol dehydrogenase (NADP+) ,1.1.1.2
K00003,hom,-1,homoserine dehydrogenase ,1.1.1.3
K00004,"BDH, butB",-1,"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase ",1.1.1.4 1.1.1.- 1.1.1.303
K00005,gldA,-1,glycerol dehydrogenase ,1.1.1.6
K00006,GPD1,23171,glycerol-3-phosphate dehydrogenase (NAD+) ,1.1.1.8
K00006,GPD1,2819,glycerol-3-phosphate dehydrogenase (NAD+) ,1.1.1.8
K00007,dalD,-1,D-arabinitol 4-dehydrogenase ,1.1.1.11
K00008,"SORD, gutB",6652,L-iditol 2-dehydrogenase ,1.1.1.14
K00009,mtlD,-1,mannitol-1-phosphate 5-dehydrogenase ,1.1.1.17
K00010,iolG,-1,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase ,1.1.1.18 1.1.1.369
K00011,AKR1B,231,aldehyde reductase ,1.1.1.21
K00011,AKR1B,57016,aldehyde reductase ,1.1.1.21
K00012,"UGDH, ugd",7358,UDPglucose 6-dehydrogenase ,1.1.1.22
K00013,hisD,-1,histidinol dehydrogenase ,1.1.1.23
K00014,aroE,-1,shikimate dehydrogenase ,1.1.1.25
K00015,"gyaR, GOR1",-1,glyoxylate reductase ,1.1.1.26
K00016,"LDH, ldh",160287,L-lactate dehydrogenase ,1.1.1.27
K00016,"LDH, ldh",92483,L-lactate dehydrogenase ,1.1.1.27
K00016,"LDH, ldh",3939,L-lactate dehydrogenase ,1.1.1.27
K00016,"LDH, ldh",3945,L-lactate dehydrogenase ,1.1.1.27
K00016,"LDH, ldh",3948,L-lactate dehydrogenase ,1.1.1.27
K00018,hprA,-1,glycerate dehydrogenase ,1.1.1.29
K00019,"BDH, bdhA",622,3-hydroxybutyrate dehydrogenase ,1.1.1.30
K00019,"BDH, bdhA",56898,3-hydroxybutyrate dehydrogenase ,1.1.1.30
K00020,"HIBADH, mmsB",11112,3-hydroxyisobutyrate dehydrogenase ,1.1.1.31
K00021,HMGCR,3156,hydroxymethylglutaryl-CoA reductase (NADPH) ,1.1.1.34
K00022,HADH,3033,3-hydroxyacyl-CoA dehydrogenase ,1.1.1.35
K00023,phbB,-1,acetoacetyl-CoA reductase ,1.1.1.36
K00024,mdh,-1,malate dehydrogenase ,1.1.1.37
K00025,MDH1,4190,malate dehydrogenase ,1.1.1.37
K00026,MDH2,4191,malate dehydrogenase ,1.1.1.37
K00027,"ME2, sfcA, maeA",4200,malate dehydrogenase (oxaloacetate-decarboxylating) ,1.1.1.38
K00028,E1.1.1.39,-1,malate dehydrogenase (decarboxylating) ,1.1.1.39
K00029,"E1.1.1.40, maeB",10873,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) ,1.1.1.40
K00029,"E1.1.1.40, maeB",4199,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) ,1.1.1.40
K00030,IDH3,3420,isocitrate dehydrogenase (NAD+) ,1.1.1.41
K00030,IDH3,3421,isocitrate dehydrogenase (NAD+) ,1.1.1.41
K00030,IDH3,3419,isocitrate dehydrogenase (NAD+) ,1.1.1.41
K00031,"IDH1, IDH2, icd",3417,isocitrate dehydrogenase ,1.1.1.42
K00031,"IDH1, IDH2, icd",3418,isocitrate dehydrogenase ,1.1.1.42
K00032,E1.1.1.43,-1,phosphogluconate 2-dehydrogenase ,1.1.1.43
K00033,"PGD, gnd, gntZ",5226,6-phosphogluconate dehydrogenase ,1.1.1.44 1.1.1.343
K00034,gdh,-1,glucose 1-dehydrogenase ,1.1.1.47
K00035,gal,-1,D-galactose 1-dehydrogenase ,1.1.1.48
K00036,"G6PD, zwf",2539,glucose-6-phosphate 1-dehydrogenase ,1.1.1.49 1.1.1.363
K00037,AKR1C4,1109,3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase ,1.1.1.50 1.1.1.357 1.1.1.225
K00038,E1.1.1.53,-1,3alpha(or 20beta)-hydroxysteroid dehydrogenase ,1.1.1.53
K00039,rbtD,-1,ribitol 2-dehydrogenase ,1.1.1.56
K00040,uxuB,-1,fructuronate reductase ,1.1.1.57
K00041,uxaB,-1,tagaturonate reductase ,1.1.1.58
K00042,"garR, glxR",-1,2-hydroxy-3-oxopropionate reductase ,1.1.1.60
K00043,gbd,-1,4-hydroxybutyrate dehydrogenase ,1.1.1.61
K00044,HSD17B1,3292,17beta-estradiol 17-dehydrogenase ,1.1.1.62
K00045,"E1.1.1.67, mtlK",-1,mannitol 2-dehydrogenase ,1.1.1.67
K00046,idnO,-1,gluconate 5-dehydrogenase ,1.1.1.69
K00048,fucO,-1,lactaldehyde reductase ,1.1.1.77
K00049,GRHPR,9380,glyoxylate/hydroxypyruvate reductase ,1.1.1.79 1.1.1.81
K00051,E1.1.1.82,-1,malate dehydrogenase (NADP+) ,1.1.1.82
K00052,"leuB, IMDH",-1,3-isopropylmalate dehydrogenase ,1.1.1.85
K00053,ilvC,-1,ketol-acid reductoisomerase ,1.1.1.86
K00054,mvaA,-1,hydroxymethylglutaryl-CoA reductase ,1.1.1.88
K00055,E1.1.1.90,-1,aryl-alcohol dehydrogenase ,1.1.1.90
K00057,gpsA,-1,glycerol-3-phosphate dehydrogenase (NAD(P)+) ,1.1.1.94
K00058,"serA, PHGDH",26227,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase ,1.1.1.95 1.1.1.399
K00059,"fabG, OAR1",-1,3-oxoacyl-[acyl-carrier protein] reductase ,1.1.1.100
K00060,tdh,-1,threonine 3-dehydrogenase ,1.1.1.103
K00061,RDH5,5959,11-cis-retinol dehydrogenase ,1.1.1.315
K00062,ARA2,-1,D-arabinose 1-dehydrogenase ,1.1.1.116
K00063,ARA1,-1,D-arabinose 1-dehydrogenase ,1.1.1.117
K00064,E1.1.1.122,-1,D-threo-aldose 1-dehydrogenase ,1.1.1.122
K00065,kduD,-1,2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase ,1.1.1.127
K00066,algD,-1,GDP-mannose 6-dehydrogenase ,1.1.1.132
K00067,"rfbD, rmlD",-1,dTDP-4-dehydrorhamnose reductase ,1.1.1.133
K00068,srlD,-1,sorbitol-6-phosphate 2-dehydrogenase ,1.1.1.140
K00069,HPGD,3248,15-hydroxyprostaglandin dehydrogenase (NAD) ,1.1.1.141
K00070,HSD3B,3283,3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ,1.1.1.145 5.3.3.1
K00070,HSD3B,3284,3beta-hydroxy-Delta5-steroid dehydrogenase / steroid Delta-isomerase ,1.1.1.145 5.3.3.1
K00071,HSD11B2,3291,corticosteroid 11-beta-dehydrogenase isozyme 2 ,1.1.1.-
K00072,SPR,6697,sepiapterin reductase ,1.1.1.153
K00073,allD,-1,ureidoglycolate dehydrogenase (NAD+) ,1.1.1.350
K00074,"paaH, hbd, fadB, mmgB",-1,3-hydroxybutyryl-CoA dehydrogenase ,1.1.1.157
K00075,murB,-1,UDP-N-acetylmuramate dehydrogenase ,1.3.1.98
K00076,hdhA,-1,7-alpha-hydroxysteroid dehydrogenase ,1.1.1.159
K00077,"panE, apbA",-1,2-dehydropantoate 2-reductase ,1.1.1.169
K00078,DHDH,27294,dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) ,1.3.1.20 1.1.1.179
K00079,CBR1,873,carbonyl reductase 1 ,1.1.1.184 1.1.1.189 1.1.1.197
K00081,CBR2,-1,carbonyl reductase 2 ,1.1.1.184
K00082,ribD2,-1,5-amino-6-(5-phosphoribosylamino)uracil reductase ,1.1.1.193
K00083,CAD,-1,cinnamyl-alcohol dehydrogenase ,1.1.1.195
K00084,CBR3,874,carbonyl reductase 3 ,1.1.1.184
K00085,E1.1.1.200,-1,aldose-6-phosphate reductase (NADPH2) ,1.1.1.200
